HeroHP,DeckAvgAttack,DeckAvgHP,DeckAvgManaCost,DeckMinionCount,DeckSpellCount,DeckHealCount,DeckTotalStatPower,DeckTempo,StartHandSize,Archetype,Is_Victorious
30,3.25,3.15,3.27,20,6,4,128,3.06,4,Aggro,0
30,4.76,4.59,4.03,17,6,7,159,2.48,4,Control,1
30,4.29,4.12,3.67,17,6,7,143,2.73,4,Control,0
30,5.39,4.83,4.07,18,8,4,184,2.46,4,Midrange,0
30,4.72,4.72,4.0,18,8,4,170,2.5,4,Midrange,1
30,7.59,6.47,4.93,17,6,7,239,2.03,4,Control,0
30,4.65,3.65,3.13,20,6,4,166,3.19,4,Aggro,1
30,5.41,5.53,4.53,17,6,7,186,2.21,4,Control,0
30,3.75,3.8,3.33,20,6,4,151,3.0,4,Aggro,1
30,4.94,5.29,4.5,17,6,7,174,2.22,4,Control,0
30,5.0,5.88,4.5,17,6,7,185,2.22,4,Control,1
30,4.0,3.78,3.57,18,8,4,140,2.8,4,Midrange,0
30,5.59,5.35,4.33,17,6,7,186,2.31,4,Control,1
30,5.39,4.89,4.23,18,8,4,185,2.36,4,Midrange,0
30,5.53,5.94,4.37,17,6,7,195,2.29,4,Control,1
30,4.94,5.35,4.27,17,6,7,175,2.34,4,Control,1
30,4.67,3.5,3.47,18,8,4,147,2.88,4,Midrange,0
30,5.59,6.29,4.37,17,6,7,202,2.29,4,Control,0
30,4.44,4.17,3.9,18,8,4,155,2.56,4,Midrange,1
30,5.56,5.0,4.73,18,8,4,190,2.11,4,Midrange,0
30,4.83,5.17,4.1,18,8,4,180,2.44,4,Midrange,1
30,5.41,5.12,4.33,17,6,7,179,2.31,4,Control,0
30,4.4,4.2,3.53,20,6,4,172,2.83,4,Aggro,1
30,5.17,4.83,4.2,18,8,4,180,2.38,4,Midrange,0
30,4.2,3.85,3.4,20,6,4,161,2.94,4,Aggro,1
30,4.0,4.3,3.27,20,6,4,166,3.06,4,Aggro,0
30,3.6,4.0,3.37,20,6,4,152,2.97,4,Aggro,1
30,5.53,5.06,4.3,17,6,7,180,2.33,4,Control,1
30,5.0,4.35,4.47,17,6,7,159,2.24,4,Control,0
30,3.85,3.75,3.73,20,6,4,152,2.68,4,Aggro,0
30,4.67,4.22,3.87,18,8,4,160,2.59,4,Midrange,1
30,3.65,4.55,3.17,20,6,4,164,3.16,4,Aggro,1
30,3.78,3.94,3.43,18,8,4,139,2.91,4,Midrange,0
30,5.28,5.11,4.13,18,8,4,187,2.42,4,Midrange,1
30,4.67,4.11,3.57,18,8,4,158,2.8,4,Midrange,0
30,4.45,4.0,3.77,20,6,4,169,2.65,4,Aggro,1
30,6.71,6.71,4.9,17,6,7,228,2.04,4,Control,0
30,5.06,5.06,3.93,17,6,7,172,2.54,4,Control,0
30,5.65,4.82,4.2,17,6,7,178,2.38,4,Control,1
30,5.33,4.56,4.63,18,8,4,178,2.16,4,Midrange,0
30,4.83,5.17,4.23,18,8,4,180,2.36,4,Midrange,1
30,4.15,4.05,3.57,20,6,4,164,2.8,4,Aggro,1
30,6.0,6.29,4.97,17,6,7,209,2.01,4,Control,0
30,4.94,4.78,4.2,18,8,4,175,2.38,4,Midrange,0
30,4.61,4.44,4.17,18,8,4,163,2.4,4,Midrange,1
30,5.11,4.28,3.83,18,8,4,169,2.61,4,Midrange,0
30,4.1,4.35,3.6,20,6,4,169,2.78,4,Aggro,1
30,3.5,4.75,3.83,20,6,4,165,2.61,4,Aggro,0
30,4.7,4.5,3.93,20,6,4,184,2.54,4,Aggro,1
30,4.33,3.94,4.17,18,8,4,149,2.4,4,Midrange,0
30,4.25,3.95,3.6,20,6,4,164,2.78,4,Aggro,1
30,5.41,5.71,4.6,17,6,7,189,2.17,4,Control,0
30,5.82,6.29,5.0,17,6,7,206,2.0,4,Control,1
30,6.0,5.65,4.83,17,6,7,198,2.07,4,Control,1
30,6.29,6.24,4.93,17,6,7,213,2.03,4,Control,0
30,5.29,4.82,4.0,17,6,7,172,2.5,4,Control,1
30,3.9,3.6,3.73,20,6,4,150,2.68,4,Aggro,0
30,5.88,5.47,4.63,17,6,7,193,2.16,4,Control,0
30,4.1,3.5,3.4,20,6,4,152,2.94,4,Aggro,1
30,5.22,4.67,4.4,18,8,4,178,2.27,4,Midrange,1
30,5.88,5.88,5.0,17,6,7,200,2.0,4,Control,0
30,3.25,3.45,2.97,20,6,4,134,3.37,4,Aggro,0
30,3.7,4.0,3.47,20,6,4,154,2.88,4,Aggro,1
30,5.11,5.39,4.23,18,8,4,189,2.36,4,Midrange,0
30,4.4,3.95,3.83,20,6,4,167,2.61,4,Aggro,1
30,4.94,4.94,4.3,18,8,4,178,2.33,4,Midrange,0
30,6.24,7.41,5.13,17,6,7,232,1.95,4,Control,1
30,4.25,3.8,3.77,20,6,4,161,2.65,4,Aggro,1
30,5.11,4.89,4.3,18,8,4,180,2.33,4,Midrange,0
30,4.0,3.65,3.83,20,6,4,153,2.61,4,Aggro,0
30,6.88,6.82,5.33,17,6,7,233,1.88,4,Control,1
30,6.41,5.53,4.1,17,6,7,203,2.44,4,Control,0
30,3.9,3.45,3.1,20,6,4,147,3.23,4,Aggro,1
30,5.11,5.11,4.17,18,8,4,184,2.4,4,Midrange,0
30,4.89,4.22,3.8,18,8,4,164,2.63,4,Midrange,1
30,4.83,5.33,3.87,18,8,4,183,2.59,4,Midrange,0
30,5.88,6.24,4.7,17,6,7,206,2.13,4,Control,1
30,4.65,4.25,4.17,20,6,4,178,2.4,4,Aggro,1
30,4.94,4.5,3.97,18,8,4,170,2.52,4,Midrange,0
30,5.0,4.7,4.27,20,6,4,194,2.34,4,Aggro,0
30,3.7,4.1,3.93,20,6,4,156,2.54,4,Aggro,1
30,5.17,4.83,3.97,18,8,4,180,2.52,4,Midrange,0
30,4.4,4.15,3.7,20,6,4,171,2.7,4,Aggro,1
30,5.11,4.44,4.3,18,8,4,172,2.33,4,Midrange,1
30,5.88,5.65,4.3,17,6,7,196,2.33,4,Control,0
30,4.28,4.89,4.3,18,8,4,165,2.33,4,Midrange,1
30,3.8,3.9,3.77,20,6,4,154,2.65,4,Aggro,0
30,4.55,5.25,4.3,20,6,4,196,2.33,4,Aggro,0
30,4.55,3.75,3.83,20,6,4,166,2.61,4,Aggro,1
30,5.5,4.94,4.47,18,8,4,188,2.24,4,Midrange,0
30,4.39,4.44,4.0,18,8,4,159,2.5,4,Midrange,1
30,4.85,4.95,3.77,20,6,4,196,2.65,4,Aggro,0
30,4.56,4.22,4.27,18,8,4,158,2.34,4,Midrange,1
30,4.35,4.6,4.1,20,6,4,179,2.44,4,Aggro,1
30,5.18,5.88,4.83,17,6,7,188,2.07,4,Control,0
30,4.61,4.67,3.73,18,8,4,167,2.68,4,Midrange,1
30,3.65,3.75,3.73,20,6,4,148,2.68,4,Aggro,0
30,4.2,4.65,3.57,20,6,4,177,2.8,4,Aggro,1
30,3.94,3.89,3.3,18,8,4,141,3.03,4,Midrange,0
30,5.65,4.88,4.57,17,6,7,179,2.19,4,Control,0
30,4.75,4.2,3.97,20,6,4,179,2.52,4,Aggro,1
30,3.7,3.4,2.97,20,6,4,142,3.37,4,Aggro,0
30,4.0,3.6,3.63,20,6,4,152,2.75,4,Aggro,1
30,4.35,3.95,3.7,20,6,4,166,2.7,4,Aggro,1
30,5.06,4.65,3.67,17,6,7,165,2.73,4,Control,0
30,5.76,5.94,4.27,17,6,7,199,2.34,4,Control,1
30,4.39,3.83,3.43,18,8,4,148,2.91,4,Midrange,0
30,4.56,4.44,3.9,18,8,4,162,2.56,4,Midrange,1
30,4.45,4.5,3.97,20,6,4,179,2.52,4,Aggro,0
30,4.15,3.9,3.3,20,6,4,161,3.03,4,Aggro,0
30,5.06,5.12,4.17,17,6,7,173,2.4,4,Control,1
30,4.85,4.35,3.93,20,6,4,184,2.54,4,Aggro,1
30,5.17,4.5,4.13,18,8,4,174,2.42,4,Midrange,0
30,4.83,4.0,3.9,18,8,4,159,2.56,4,Midrange,0
30,4.7,4.05,3.97,20,6,4,175,2.52,4,Aggro,1
30,3.9,3.5,3.57,20,6,4,148,2.8,4,Aggro,1
30,4.3,4.35,3.93,20,6,4,173,2.54,4,Aggro,0
30,5.88,5.24,4.23,17,6,7,189,2.36,4,Control,0
30,3.85,3.8,3.43,20,6,4,153,2.91,4,Aggro,1
30,3.8,3.8,3.53,20,6,4,152,2.83,4,Aggro,0
30,4.75,4.1,3.47,20,6,4,177,2.88,4,Aggro,1
30,4.44,4.39,3.83,18,8,4,159,2.61,4,Midrange,0
30,4.89,4.72,3.97,18,8,4,173,2.52,4,Midrange,1
30,4.72,3.94,3.7,18,8,4,156,2.7,4,Midrange,1
30,4.7,4.4,3.5,20,6,4,182,2.86,4,Aggro,0
30,5.67,4.78,3.93,18,8,4,188,2.54,4,Midrange,1
30,5.82,5.82,5.33,17,6,7,198,1.88,4,Control,0
30,5.22,4.83,3.97,18,8,4,181,2.52,4,Midrange,0
30,4.25,3.85,3.2,20,6,4,162,3.12,4,Aggro,1
30,4.9,4.6,3.73,20,6,4,190,2.68,4,Aggro,1
30,4.25,4.1,3.43,20,6,4,167,2.91,4,Aggro,0
30,4.94,5.41,4.17,17,6,7,176,2.4,4,Control,0
30,5.29,4.88,4.7,17,6,7,173,2.13,4,Control,1
30,6.76,6.76,5.07,17,6,7,230,1.97,4,Control,1
30,4.45,4.95,3.93,20,6,4,188,2.54,4,Aggro,0
30,5.12,5.35,4.2,17,6,7,178,2.38,4,Control,0
30,5.47,5.35,4.23,17,6,7,184,2.36,4,Control,1
30,5.53,5.71,4.4,17,6,7,191,2.27,4,Control,1
30,4.5,4.7,4.43,20,6,4,184,2.26,4,Aggro,0
30,4.15,3.8,3.9,20,6,4,159,2.56,4,Aggro,0
30,4.82,5.0,4.4,17,6,7,167,2.27,4,Control,1
30,4.85,4.25,4.1,20,6,4,182,2.44,4,Aggro,1
30,3.65,4.15,3.63,20,6,4,156,2.75,4,Aggro,0
30,4.65,4.25,4.03,20,6,4,178,2.48,4,Aggro,0
30,5.76,5.18,4.6,17,6,7,186,2.17,4,Control,1
30,4.24,4.65,3.7,17,6,7,151,2.7,4,Control,0
30,4.76,5.59,4.43,17,6,7,176,2.26,4,Control,1
30,4.28,4.06,3.6,18,8,4,150,2.78,4,Midrange,0
30,4.83,5.28,4.17,18,8,4,182,2.4,4,Midrange,1
30,3.75,3.5,3.2,20,6,4,145,3.12,4,Aggro,0
30,4.89,5.11,4.37,18,8,4,180,2.29,4,Midrange,1
30,6.82,6.94,4.77,17,6,7,234,2.1,4,Control,1
30,3.95,3.7,3.6,20,6,4,153,2.78,4,Aggro,0
30,4.67,4.0,3.6,18,8,4,156,2.78,4,Midrange,1
30,4.83,5.17,4.17,18,8,4,180,2.4,4,Midrange,0
30,4.83,4.78,3.53,18,8,4,173,2.83,4,Midrange,1
30,3.85,3.8,3.57,20,6,4,153,2.8,4,Aggro,0
30,6.53,6.65,4.57,17,6,7,224,2.19,4,Control,0
30,4.9,4.3,3.67,20,6,4,184,2.73,4,Aggro,1
30,5.41,5.24,4.03,17,6,7,181,2.48,4,Control,0
30,4.85,4.3,4.33,20,6,4,183,2.31,4,Aggro,1
30,4.61,4.72,3.87,18,8,4,168,2.59,4,Midrange,0
30,4.82,5.47,4.5,17,6,7,175,2.22,4,Control,1
30,5.76,6.47,4.87,17,6,7,208,2.05,4,Control,0
30,3.9,3.35,3.03,20,6,4,145,3.3,4,Aggro,1
30,3.65,4.1,3.23,20,6,4,155,3.09,4,Aggro,1
30,4.88,5.53,4.03,17,6,7,177,2.48,4,Control,0
30,4.4,4.4,4.33,20,6,4,176,2.31,4,Aggro,0
30,4.89,4.28,3.73,18,8,4,165,2.68,4,Midrange,1
30,4.83,4.78,4.23,18,8,4,173,2.36,4,Midrange,1
30,4.75,4.4,3.83,20,6,4,183,2.61,4,Aggro,0
30,4.3,4.45,3.57,20,6,4,175,2.8,4,Aggro,1
30,4.05,3.35,2.97,20,6,4,148,3.37,4,Aggro,0
30,4.61,4.39,3.57,18,8,4,162,2.8,4,Midrange,1
30,5.35,4.76,4.17,17,6,7,172,2.4,4,Control,0
30,3.78,4.72,3.53,18,8,4,153,2.83,4,Midrange,1
30,6.0,5.65,4.3,17,6,7,198,2.33,4,Control,0
30,4.94,4.56,4.07,18,8,4,171,2.46,4,Midrange,0
30,4.56,4.5,4.0,18,8,4,163,2.5,4,Midrange,1
30,4.65,4.4,3.9,20,6,4,181,2.56,4,Aggro,1
30,5.59,5.53,4.4,17,6,7,189,2.27,4,Control,0
30,4.72,4.11,4.27,18,8,4,159,2.34,4,Midrange,1
30,5.06,4.22,4.03,18,8,4,167,2.48,4,Midrange,0
30,4.72,4.28,4.27,18,8,4,162,2.34,4,Midrange,0
30,4.44,4.89,3.73,18,8,4,168,2.68,4,Midrange,1
30,4.65,4.82,3.9,17,6,7,161,2.56,4,Control,0
30,5.82,5.65,4.4,17,6,7,195,2.27,4,Control,1
30,3.95,5.0,3.63,20,6,4,179,2.75,4,Aggro,0
30,5.47,5.18,4.17,17,6,7,181,2.4,4,Control,1
30,6.12,5.82,4.8,17,6,7,203,2.08,4,Control,0
30,4.1,4.3,3.53,20,6,4,168,2.83,4,Aggro,1
30,5.94,4.33,4.57,18,8,4,185,2.19,4,Midrange,0
30,4.3,4.5,3.8,20,6,4,176,2.63,4,Aggro,1
30,5.82,5.41,4.5,17,6,7,191,2.22,4,Control,0
30,4.22,3.72,3.37,18,8,4,143,2.97,4,Midrange,1
30,5.71,4.82,3.9,17,6,7,179,2.56,4,Control,0
30,4.3,4.55,3.7,20,6,4,177,2.7,4,Aggro,1
30,4.35,4.5,3.77,20,6,4,177,2.65,4,Aggro,0
30,4.75,4.8,4.1,20,6,4,191,2.44,4,Aggro,1
30,5.35,5.29,4.17,17,6,7,181,2.4,4,Control,0
30,5.89,6.44,4.67,18,8,4,222,2.14,4,Midrange,1
30,5.61,5.44,4.7,18,8,4,199,2.13,4,Midrange,0
30,5.11,5.67,4.67,18,8,4,194,2.14,4,Midrange,1
30,5.47,5.88,4.73,17,6,7,193,2.11,4,Control,0
30,5.35,5.94,4.63,17,6,7,192,2.16,4,Control,1
30,5.24,4.88,4.1,17,6,7,172,2.44,4,Control,1
30,6.29,6.53,5.3,17,6,7,218,1.89,4,Control,0
30,3.9,3.6,3.53,20,6,4,150,2.83,4,Aggro,1
30,5.33,4.89,4.2,18,8,4,184,2.38,4,Midrange,0
30,4.6,4.6,4.33,20,6,4,184,2.31,4,Aggro,0
30,5.24,5.41,4.17,17,6,7,181,2.4,4,Control,1
30,4.15,4.65,3.97,20,6,4,176,2.52,4,Aggro,1
30,5.1,4.9,4.37,20,6,4,200,2.29,4,Aggro,0
30,4.83,4.5,3.97,18,8,4,168,2.52,4,Midrange,0
30,6.59,6.88,4.87,17,6,7,229,2.05,4,Control,1
30,5.0,4.59,4.07,17,6,7,163,2.46,4,Control,0
30,4.89,5.17,4.3,18,8,4,181,2.33,4,Midrange,1
30,6.06,5.35,4.47,17,6,7,194,2.24,4,Control,1
30,3.7,3.75,3.07,20,6,4,149,3.26,4,Aggro,0
30,3.85,4.0,3.37,20,6,4,157,2.97,4,Aggro,0
30,4.89,5.22,4.37,18,8,4,182,2.29,4,Midrange,1
30,4.56,4.5,4.3,18,8,4,163,2.33,4,Midrange,0
30,4.94,4.89,4.03,18,8,4,177,2.48,4,Midrange,1
30,6.11,5.83,4.77,18,8,4,215,2.1,4,Midrange,1
30,4.05,3.95,3.83,20,6,4,160,2.61,4,Aggro,0
30,5.65,6.0,4.6,17,6,7,198,2.17,4,Control,1
30,5.59,4.94,4.13,17,6,7,179,2.42,4,Control,0
30,5.24,5.41,4.4,17,6,7,181,2.27,4,Control,0
30,4.05,4.35,3.57,20,6,4,168,2.8,4,Aggro,1
30,4.56,4.94,4.1,18,8,4,171,2.44,4,Midrange,0
30,3.85,3.9,3.6,20,6,4,155,2.78,4,Aggro,1
30,6.11,5.94,4.83,18,8,4,217,2.07,4,Midrange,0
30,5.24,5.41,4.13,17,6,7,181,2.42,4,Control,1
30,5.47,4.59,4.17,17,6,7,171,2.4,4,Control,1
30,4.44,4.06,4.0,18,8,4,153,2.5,4,Midrange,0
30,6.18,5.71,4.8,17,6,7,202,2.08,4,Control,0
30,5.11,4.39,4.27,18,8,4,171,2.34,4,Midrange,1
30,3.45,2.95,3.03,20,6,4,128,3.3,4,Aggro,0
30,3.8,3.6,2.97,20,6,4,148,3.37,4,Aggro,1
30,5.35,5.47,4.2,17,6,7,184,2.38,4,Control,0
30,3.55,3.65,3.1,20,6,4,144,3.23,4,Aggro,1
30,5.24,5.59,4.03,17,6,7,184,2.48,4,Control,1
30,4.33,4.72,3.9,18,8,4,163,2.56,4,Midrange,0
30,3.67,4.33,3.63,18,8,4,144,2.75,4,Midrange,1
30,5.39,5.33,4.57,18,8,4,193,2.19,4,Midrange,0
30,4.17,4.44,3.7,18,8,4,155,2.7,4,Midrange,1
30,4.61,4.06,3.93,18,8,4,156,2.54,4,Midrange,0
30,5.24,5.0,4.13,17,6,7,174,2.42,4,Control,1
30,3.44,4.44,4.13,18,8,4,142,2.42,4,Midrange,0
30,4.5,4.44,4.1,18,8,4,161,2.44,4,Midrange,1
30,6.29,5.82,4.7,17,6,7,206,2.13,4,Control,0
30,4.61,4.17,3.43,18,8,4,158,2.91,4,Midrange,0
30,5.24,5.82,4.03,17,6,7,188,2.48,4,Control,1
30,5.05,5.3,4.43,20,6,4,207,2.26,4,Aggro,1
30,3.85,3.6,3.5,20,6,4,149,2.86,4,Aggro,0
30,5.59,5.12,4.5,17,6,7,182,2.22,4,Control,0
30,4.83,4.5,3.7,18,8,4,168,2.7,4,Midrange,1
30,5.53,5.53,4.27,17,6,7,188,2.34,4,Control,1
30,5.59,5.76,4.67,17,6,7,193,2.14,4,Control,0
30,3.85,3.85,3.5,20,6,4,154,2.86,4,Aggro,0
30,5.35,4.45,4.43,20,6,4,196,2.26,4,Aggro,1
30,3.67,3.67,3.5,18,8,4,132,2.86,4,Midrange,0
30,4.0,4.22,3.53,18,8,4,148,2.83,4,Midrange,1
30,4.67,4.94,4.3,18,8,4,173,2.33,4,Midrange,0
30,4.44,4.44,3.9,18,8,4,160,2.56,4,Midrange,1
30,5.76,5.18,4.5,17,6,7,186,2.22,4,Control,0
30,5.56,6.06,4.6,18,8,4,209,2.17,4,Midrange,1
30,5.47,5.12,4.53,17,6,7,180,2.21,4,Control,0
30,5.0,4.89,3.93,18,8,4,178,2.54,4,Midrange,1
30,4.22,3.72,3.4,18,8,4,143,2.94,4,Midrange,0
30,4.56,4.33,3.53,18,8,4,160,2.83,4,Midrange,1
30,3.35,4.35,3.47,17,6,7,131,2.88,4,Control,0
30,5.11,4.5,4.3,18,8,4,173,2.33,4,Midrange,1
30,5.41,5.47,4.27,17,6,7,185,2.34,4,Control,0
30,4.61,5.11,4.0,18,8,4,175,2.5,4,Midrange,1
30,4.11,4.06,3.9,18,8,4,147,2.56,4,Midrange,1
30,5.56,5.06,4.37,18,8,4,191,2.29,4,Midrange,0
30,4.1,3.85,3.6,20,6,4,159,2.78,4,Aggro,1
30,4.24,4.94,3.97,17,6,7,156,2.52,4,Control,0
30,5.88,5.29,4.17,17,6,7,190,2.4,4,Control,1
30,4.65,4.6,4.03,20,6,4,185,2.48,4,Aggro,0
30,5.76,5.53,4.2,17,6,7,192,2.38,4,Control,1
30,4.9,4.35,3.87,20,6,4,185,2.59,4,Aggro,0
30,4.65,3.3,3.83,20,6,4,159,2.61,4,Aggro,0
30,5.06,5.24,4.03,17,6,7,175,2.48,4,Control,1
30,5.61,6.0,4.3,18,8,4,209,2.33,4,Midrange,0
30,4.8,4.6,4.17,20,6,4,188,2.4,4,Aggro,1
30,4.35,3.5,3.3,20,6,4,157,3.03,4,Aggro,1
30,6.24,6.18,4.7,17,6,7,211,2.13,4,Control,0
30,4.11,4.44,4.23,18,8,4,154,2.36,4,Midrange,1
30,4.78,4.72,4.1,18,8,4,171,2.44,4,Midrange,0
30,5.17,4.33,3.93,18,8,4,171,2.54,4,Midrange,0
30,4.11,3.67,3.77,18,8,4,140,2.65,4,Midrange,1
30,6.29,6.18,4.73,17,6,7,212,2.11,4,Control,0
30,6.41,5.76,4.83,17,6,7,207,2.07,4,Control,1
30,5.82,5.35,4.7,17,6,7,190,2.13,4,Control,0
30,5.22,4.78,4.3,18,8,4,180,2.33,4,Midrange,1
30,4.76,5.12,4.37,17,6,7,168,2.29,4,Control,0
30,3.65,3.8,3.2,20,6,4,149,3.12,4,Aggro,1
30,3.85,3.75,3.4,20,6,4,152,2.94,4,Aggro,1
30,4.2,3.95,3.53,20,6,4,163,2.83,4,Aggro,0
30,4.11,4.67,3.77,18,8,4,158,2.65,4,Midrange,0
30,5.61,4.83,4.37,18,8,4,188,2.29,4,Midrange,1
30,5.12,5.12,4.27,17,6,7,174,2.34,4,Control,1
30,5.39,5.61,3.97,18,8,4,198,2.52,4,Midrange,0
30,5.5,4.8,4.47,20,6,4,206,2.24,4,Aggro,0
30,5.15,4.5,3.8,20,6,4,193,2.63,4,Aggro,1
30,5.24,5.47,4.4,17,6,7,182,2.27,4,Control,0
30,4.67,4.11,4.27,18,8,4,158,2.34,4,Midrange,1
30,4.94,5.44,4.73,18,8,4,187,2.11,4,Midrange,1
30,5.25,4.85,4.2,20,6,4,202,2.38,4,Aggro,0
30,4.25,4.3,3.87,20,6,4,171,2.59,4,Aggro,0
30,3.85,4.1,3.53,20,6,4,159,2.83,4,Aggro,1
30,5.67,5.17,4.5,18,8,4,195,2.22,4,Midrange,0
30,3.75,3.45,3.53,20,6,4,144,2.83,4,Aggro,1
30,4.25,3.8,3.63,20,6,4,161,2.75,4,Aggro,0
30,3.95,3.9,3.13,20,6,4,157,3.19,4,Aggro,1
30,3.95,3.7,3.5,20,6,4,153,2.86,4,Aggro,0
30,5.41,4.29,4.4,17,6,7,165,2.27,4,Control,1
30,4.55,5.0,3.93,20,6,4,191,2.54,4,Aggro,1
30,5.71,5.59,4.73,17,6,7,192,2.11,4,Control,0
30,4.67,4.28,4.13,18,8,4,161,2.42,4,Midrange,0
30,6.35,5.47,4.4,17,6,7,201,2.27,4,Control,1
30,5.12,5.53,3.93,17,6,7,181,2.54,4,Control,1
30,6.06,5.94,5.17,17,6,7,204,1.94,4,Control,0
30,3.5,4.25,3.2,20,6,4,155,3.12,4,Aggro,0
30,4.7,4.65,3.73,20,6,4,187,2.68,4,Aggro,1
30,4.35,4.45,3.97,20,6,4,176,2.52,4,Aggro,1
30,4.0,4.35,3.6,20,6,4,167,2.78,4,Aggro,0
30,4.22,3.89,3.4,18,8,4,146,2.94,4,Midrange,0
30,4.45,4.05,3.63,20,6,4,170,2.75,4,Aggro,1
30,5.06,4.89,3.73,18,8,4,179,2.68,4,Midrange,1
30,4.47,3.76,3.6,17,6,7,140,2.78,4,Control,0
30,4.28,4.61,4.0,18,8,4,160,2.5,4,Midrange,1
30,5.41,5.41,4.43,17,6,7,184,2.26,4,Control,0
30,5.35,5.53,4.2,17,6,7,185,2.38,4,Control,1
30,5.17,4.83,4.07,18,8,4,180,2.46,4,Midrange,0
30,6.33,5.33,4.9,18,8,4,210,2.04,4,Midrange,0
30,4.56,4.11,3.53,18,8,4,156,2.83,4,Midrange,1
30,5.59,5.18,4.27,17,6,7,183,2.34,4,Control,1
30,5.89,5.5,4.57,18,8,4,205,2.19,4,Midrange,0
30,5.41,6.18,4.47,17,6,7,197,2.24,4,Control,1
30,4.67,4.28,3.83,18,8,4,161,2.61,4,Midrange,0
30,4.2,4.2,3.73,20,6,4,168,2.68,4,Aggro,1
30,5.41,6.24,4.8,17,6,7,198,2.08,4,Control,0
30,5.35,5.29,4.87,17,6,7,181,2.05,4,Control,1
30,5.0,4.59,4.1,17,6,7,163,2.44,4,Control,0
30,4.28,3.78,3.47,18,8,4,145,2.88,4,Midrange,0
30,4.25,4.05,3.6,20,6,4,166,2.78,4,Aggro,1
30,4.5,4.55,4.23,20,6,4,181,2.36,4,Aggro,0
30,4.89,3.56,3.53,18,8,4,152,2.83,4,Midrange,1
30,4.0,5.11,4.23,18,8,4,164,2.36,4,Midrange,0
