Atk_Strength,Atk_Magic,Atk_WeaponAttack,Atk_WeaponMagic,Def_Vitality,Def_Spirit,Def_ArmorDefense,Def_ArmorSpirit,Move_Power,Move_Category,Move_Element,Def_ResistElement,Def_AbsorbElement,Damage
66,40,28,31,67,20,61,8,66,Magic,Holy,Holy,None,1073
31,54,36,12,30,21,69,3,66,Magic,Holy,None,None,459
41,55,50,2,31,70,43,13,50,Magic,Water,Water,None,468
25,70,86,1,67,36,25,14,42,Magic,Gravity,Gravity,None,619
27,35,28,7,36,79,31,8,66,Magic,Holy,None,None,200
77,55,56,17,23,52,20,19,32,Physical,None,Water,None,653
25,70,86,1,40,42,33,13,32,Physical,None,None,None,486
74,36,56,25,51,67,55,20,32,Physical,None,None,Gravity,547
46,41,60,13,42,31,50,1,32,Physical,None,Wind,None,444
49,64,60,49,51,37,10,13,46,Magic,Poison,Poison,None,1442
35,76,53,21,68,77,47,23,66,Magic,Holy,None,Poison,688
71,49,28,44,28,56,29,11,66,Magic,Holy,None,None,724
54,64,53,27,77,62,60,0,60,Magic,Fire,Fire,None,1386
71,21,74,8,68,36,45,4,32,Physical,None,Fire,None,647
59,52,24,44,29,35,59,6,50,Magic,Water,Water,None,1292
52,75,32,26,67,36,25,14,42,Magic,Gravity,Gravity,None,1188
27,38,72,48,68,67,70,9,66,Magic,Holy,None,Lightning,659
66,47,47,36,75,55,26,20,66,Magic,Holy,None,None,595
79,64,16,4,28,56,29,11,32,Physical,None,None,None,758
59,27,35,8,34,32,56,6,32,Physical,None,None,None,339
31,54,36,12,64,73,57,0,60,Magic,Lightning,Lightning,None,750
61,78,55,44,51,55,44,6,66,Magic,Holy,None,None,1208
52,54,30,5,41,20,28,20,54,Magic,Wind,Wind,None,595
41,55,50,2,31,20,15,25,16,Physical,None,None,None,187
63,54,82,11,80,24,51,5,32,Physical,None,Poison,None,1294
49,64,60,49,69,44,16,1,42,Magic,Gravity,Gravity,Lightning,1325
70,53,59,48,69,44,16,1,42,Magic,Gravity,Gravity,Lightning,1194
46,41,29,7,75,55,26,20,32,Physical,None,None,None,233
45,79,50,19,65,37,31,1,42,Magic,Gravity,Gravity,Holy,1050
27,38,72,48,54,34,42,9,66,Magic,Holy,Holy,None,1366
44,77,50,7,42,34,48,25,66,Magic,Holy,Holy,None,1304
68,53,71,17,42,31,50,1,32,Physical,None,Wind,None,658
46,67,48,38,27,20,13,19,48,Magic,Earth,Earth,None,1342
52,75,32,26,51,69,29,9,42,Magic,Gravity,Gravity,None,1057
59,27,35,8,77,62,60,0,32,Physical,None,Fire,None,302
61,37,66,2,48,29,49,5,32,Physical,None,None,Water,1070
22,25,72,19,67,36,25,14,32,Physical,None,Gravity,None,331
46,41,29,7,31,20,15,25,32,Physical,None,None,None,268
46,41,60,13,80,24,51,5,32,Physical,None,Poison,None,748
49,64,60,49,56,31,12,16,46,Magic,Poison,Poison,None,1556
32,31,62,20,39,65,36,23,60,Magic,Ice,Ice,None,478
45,79,50,19,75,55,26,20,66,Magic,Holy,None,None,829
61,41,15,26,56,31,12,16,46,Magic,Poison,Poison,None,604
75,28,73,47,30,21,69,3,32,Physical,None,None,None,717
78,49,16,18,60,78,27,14,32,Physical,None,None,Holy,723
32,58,19,28,51,37,10,13,46,Magic,Poison,Poison,None,974
49,64,60,49,62,39,54,25,66,Magic,Holy,None,None,973
24,56,62,42,54,78,58,22,46,Magic,Poison,Poison,None,1097
28,65,42,21,27,20,13,19,48,Magic,Earth,Earth,None,970
62,74,17,2,78,33,69,21,66,Magic,Holy,None,None,561
31,79,68,9,41,33,42,22,60,Magic,Fire,Fire,None,1218
61,78,55,44,56,31,12,16,46,Magic,Poison,Poison,None,1739
37,38,17,11,37,35,25,1,66,Magic,Holy,None,None,294
44,77,50,7,34,20,27,11,60,Magic,Ice,Ice,None,1218
28,43,75,2,38,37,10,15,32,Physical,None,None,Poison,453
61,72,74,20,31,70,43,13,50,Magic,Water,Water,None,1044
28,65,42,21,39,65,36,23,60,Magic,Ice,Ice,None,1167
66,40,28,31,68,31,11,0,50,Magic,Water,Water,None,811
32,58,19,28,55,58,28,0,60,Magic,Ice,Ice,None,1233
32,31,62,20,28,56,29,11,32,Physical,None,None,None,397
62,74,17,2,68,77,47,23,66,Magic,Holy,None,Poison,502
75,28,73,47,36,79,31,8,32,Physical,None,None,None,749
22,25,72,19,67,20,61,8,66,Magic,Holy,Holy,None,479
61,72,74,20,44,47,39,10,60,Magic,Lightning,Lightning,None,1305
51,27,44,36,42,53,56,8,48,Magic,Earth,Earth,None,598
33,71,34,16,69,44,16,1,42,Magic,Gravity,Gravity,Lightning,843
37,38,17,11,36,79,31,8,66,Magic,Holy,None,None,244
51,27,44,36,27,20,13,19,48,Magic,Earth,Earth,None,582
60,79,51,3,44,47,39,10,60,Magic,Lightning,Lightning,None,1085
44,77,50,7,39,50,40,3,66,Magic,Holy,None,None,651
22,25,72,19,79,45,41,3,32,Physical,None,Earth,Holy,307
66,56,17,23,41,26,35,7,28,Magic,Gravity,Ice,None,260
77,31,68,22,29,35,59,6,32,Physical,None,Water,None,1506
79,76,79,35,38,37,10,15,32,Physical,None,None,Poison,1876
52,54,30,5,30,21,69,3,66,Magic,Holy,None,None,372
70,53,59,48,75,55,26,20,32,Physical,None,None,None,563
79,64,16,4,65,37,31,1,42,Magic,Gravity,Gravity,Holy,584
64,29,61,10,41,33,42,22,32,Physical,None,Fire,None,597
33,71,34,16,27,36,34,25,66,Magic,Holy,None,None,653
62,74,17,2,30,31,56,0,66,Magic,Holy,None,None,572
23,49,73,10,42,31,50,1,54,Magic,Wind,Wind,None,615
74,36,56,25,44,47,39,10,32,Physical,None,Lightning,None,600
36,80,65,33,68,49,31,17,66,Magic,Holy,None,None,1064
49,64,60,49,37,35,25,1,66,Magic,Holy,None,None,1148
68,61,90,4,33,42,19,23,32,Physical,None,Poison,Earth,924
27,50,35,4,54,78,58,22,46,Magic,Poison,Poison,None,420
64,30,16,43,54,34,42,9,66,Magic,Holy,Holy,None,1024
61,72,74,20,37,75,58,11,32,Physical,None,None,None,1259
47,75,55,34,29,35,59,6,50,Magic,Water,Water,None,1556
58,22,50,37,44,47,39,10,60,Magic,Lightning,Lightning,None,658
45,36,41,19,63,66,38,15,54,Magic,Wind,Wind,None,489
51,22,45,23,68,67,70,9,32,Physical,None,None,Lightning,646
31,79,68,9,36,75,61,15,66,Magic,Holy,None,None,658
28,65,42,21,78,33,69,21,66,Magic,Holy,None,None,693
36,80,65,33,25,68,70,13,46,Magic,Poison,Poison,None,1305
63,68,84,40,54,78,58,22,46,Magic,Poison,Poison,None,1189
37,38,17,11,52,30,40,11,66,Magic,Holy,Holy,None,582
52,75,32,26,51,69,29,9,28,Magic,Wind,Gravity,None,332
47,75,55,34,68,31,11,0,50,Magic,Water,Water,None,1589
46,41,29,7,68,67,70,9,32,Physical,None,None,Lightning,208
77,55,56,17,39,50,40,3,32,Physical,None,None,None,670
78,49,16,18,31,70,43,13,50,Magic,Water,Water,None,666
78,49,16,18,27,36,34,25,32,Physical,None,None,None,720
51,27,44,36,27,28,61,16,32,Physical,None,None,None,703
67,38,38,48,28,56,29,11,66,Magic,Holy,None,None,640
52,75,32,26,60,78,27,14,60,Magic,Fire,None,Holy,719
36,31,70,42,61,21,58,0,66,Magic,Holy,None,None,525
64,29,61,10,51,55,44,6,32,Physical,None,None,None,558
25,70,86,1,37,35,25,1,32,Physical,None,None,None,476
49,64,60,49,54,34,42,9,66,Magic,Holy,Holy,None,2142
31,79,68,9,63,66,38,15,54,Magic,Wind,Wind,None,1128
64,30,16,43,75,55,26,20,66,Magic,Holy,None,None,516
59,40,61,44,27,36,34,25,32,Physical,None,None,None,1060
39,78,43,30,39,50,40,3,66,Magic,Holy,None,None,930
67,38,38,48,29,35,59,6,50,Magic,Water,Water,None,1107
37,75,26,35,54,34,42,9,66,Magic,Holy,Holy,None,2151
44,77,50,7,52,30,40,11,66,Magic,Holy,Holy,None,1308
68,53,71,17,67,20,61,8,66,Magic,Holy,Holy,None,1045
33,71,34,16,34,32,56,6,66,Magic,Holy,None,None,701
77,33,50,18,36,69,49,2,32,Physical,None,Wind,Lightning,594
51,27,44,36,54,73,56,24,66,Magic,Holy,Holy,None,690
32,22,85,27,38,21,62,14,32,Physical,None,Poison,None,475
79,64,16,4,61,21,58,0,66,Magic,Holy,None,None,495
28,65,42,21,63,71,56,5,46,Magic,Poison,Poison,Gravity,928
25,70,86,1,60,78,27,14,32,Physical,None,None,Holy,470
22,25,72,19,39,65,36,23,32,Physical,None,Ice,None,352
46,41,60,13,54,73,56,24,32,Physical,None,Holy,None,389
32,22,85,27,51,67,18,3,32,Physical,None,None,None,530
24,56,62,42,67,20,61,8,66,Magic,Holy,Holy,None,1708
31,54,36,12,43,40,43,13,66,Magic,Holy,None,None,451
77,62,58,42,44,47,39,10,60,Magic,Lightning,Lightning,None,1632
20,63,80,33,44,47,39,10,60,Magic,Lightning,Lightning,None,1462
47,75,55,34,56,31,12,16,46,Magic,Poison,Poison,None,1399
49,64,60,49,80,24,51,5,46,Magic,Poison,Poison,None,1605
62,74,17,2,26,54,54,13,66,Magic,Holy,None,None,537
35,76,53,21,35,67,35,5,66,Magic,Holy,None,Gravity,831
44,77,50,7,64,73,57,0,60,Magic,Lightning,Lightning,None,1139
58,22,50,37,38,37,10,15,32,Physical,None,None,Poison,464
23,49,73,10,31,20,15,25,32,Physical,None,None,None,418
32,31,62,20,63,71,56,5,46,Magic,Poison,Poison,Gravity,388
47,75,55,34,41,33,42,22,60,Magic,Fire,Fire,None,1895
63,68,84,40,26,54,54,13,32,Physical,None,None,None,720
27,38,72,48,78,33,69,21,66,Magic,Holy,None,None,661
77,62,58,42,64,73,57,0,60,Magic,Lightning,Lightning,None,1680
39,78,43,30,36,75,61,15,66,Magic,Holy,None,None,958
59,52,24,44,51,37,10,13,46,Magic,Poison,Poison,None,1096
41,55,50,2,63,66,38,15,54,Magic,Wind,Wind,None,555
45,36,41,19,55,58,28,0,60,Magic,Ice,Ice,None,614
64,28,43,22,44,47,39,10,32,Physical,None,Lightning,None,872
64,22,23,20,31,70,43,13,32,Physical,None,Water,None,309
59,52,24,44,67,36,25,14,42,Magic,Gravity,Gravity,None,997
71,49,28,44,63,36,63,15,60,Magic,Fire,Fire,None,1339
25,55,40,40,23,52,20,19,48,Magic,Earth,Water,None,585
52,54,30,5,62,39,54,25,66,Magic,Holy,None,None,358
60,79,51,3,64,73,57,0,60,Magic,Lightning,Lightning,None,1054
51,27,44,36,44,47,39,10,60,Magic,Lightning,Lightning,None,738
66,47,47,36,44,47,39,10,60,Magic,Lightning,Lightning,None,1146
46,67,48,38,55,25,11,15,66,Magic,Holy,None,None,1011
27,38,72,48,52,30,40,11,66,Magic,Holy,Holy,None,1447
52,54,30,5,41,33,42,22,60,Magic,Fire,Fire,None,667
23,49,73,10,39,65,36,23,60,Magic,Ice,Ice,None,628
46,41,60,13,78,33,69,21,32,Physical,None,None,None,387
65,48,15,35,36,75,61,15,66,Magic,Holy,None,None,607
32,24,48,12,67,36,25,14,32,Physical,None,Gravity,None,270
31,54,36,12,55,58,28,0,60,Magic,Ice,Ice,None,761
79,64,16,4,63,36,63,15,60,Magic,Fire,Fire,None,872
77,33,50,18,41,20,28,20,32,Physical,None,Wind,None,603
43,26,42,3,61,21,58,0,32,Physical,None,None,None,564
37,38,17,11,33,42,19,23,46,Magic,Poison,Poison,Earth,392
28,65,42,21,27,20,13,19,60,Magic,Fire,Earth,None,614
71,61,47,9,68,49,31,17,32,Physical,None,None,None,985
32,31,62,20,27,20,13,19,32,Physical,None,Earth,None,371
77,62,58,42,69,44,16,1,42,Magic,Gravity,Gravity,Lightning,1151
67,38,38,48,61,21,58,0,66,Magic,Holy,None,None,718
68,53,71,17,36,79,31,8,32,Physical,None,None,None,1502
54,64,53,27,43,40,43,13,66,Magic,Holy,None,None,749
51,27,44,36,39,50,40,3,32,Physical,None,None,None,767
32,24,48,12,28,56,29,11,32,Physical,None,None,None,286
22,25,72,19,63,66,38,15,32,Physical,None,Wind,None,352
32,58,19,28,25,68,70,13,46,Magic,Poison,Poison,None,890
25,79,61,33,28,51,62,4,50,Magic,Water,Water,None,1498
77,33,50,18,63,66,38,15,32,Physical,None,Wind,None,1186
68,61,90,4,56,31,12,16,32,Physical,None,Poison,None,942
63,54,82,11,43,40,43,13,32,Physical,None,None,None,1527
46,41,29,7,30,21,69,3,32,Physical,None,None,None,226
51,22,45,23,42,53,56,8,32,Physical,None,Earth,None,343
46,41,60,13,42,53,56,8,32,Physical,None,Earth,None,419
32,24,48,12,60,78,27,14,32,Physical,None,None,Holy,275
59,52,24,44,67,36,25,14,42,Magic,Gravity,Gravity,None,985
66,40,28,31,51,37,10,13,46,Magic,Poison,Poison,None,662
27,35,28,7,75,55,26,20,66,Magic,Holy,None,None,201
66,56,17,23,65,37,31,1,42,Magic,Gravity,Gravity,Holy,753
64,29,61,10,24,53,28,12,32,Physical,None,None,None,1237
80,79,50,31,75,55,26,20,66,Magic,Holy,None,None,992
59,40,61,44,40,42,33,13,32,Physical,None,None,None,1027
25,55,40,40,68,67,70,9,66,Magic,Holy,None,Lightning,732
80,79,50,31,54,78,58,22,46,Magic,Poison,Poison,None,1220
64,22,23,20,64,73,57,0,60,Magic,Lightning,Lightning,None,399
27,50,35,4,60,78,27,14,60,Magic,Fire,None,Holy,256
31,79,68,9,55,25,11,15,66,Magic,Holy,None,None,696
35,76,53,21,23,52,20,19,50,Magic,Water,Water,None,1125
27,35,28,7,37,75,58,11,66,Magic,Holy,None,None,208
51,27,44,36,54,78,58,22,46,Magic,Poison,Poison,None,489
27,50,35,4,37,35,25,1,66,Magic,Holy,None,None,344
37,75,26,35,68,31,11,0,50,Magic,Water,Water,None,1615
46,67,48,38,31,20,15,25,66,Magic,Holy,None,None,992
66,47,47,36,74,54,65,12,66,Magic,Holy,None,None,611
74,36,56,25,56,31,12,16,24,Physical,None,Poison,None,462
68,53,71,17,41,20,28,20,32,Physical,None,Wind,None,1486
23,49,73,10,49,52,70,17,32,Physical,None,None,None,675
62,74,17,2,49,52,70,17,66,Magic,Holy,None,None,539
61,41,15,26,74,54,65,12,66,Magic,Holy,None,None,411
20,63,80,33,68,47,12,9,46,Magic,Poison,Poison,None,1177
71,21,74,8,34,20,27,11,32,Physical,None,Ice,None,1571
61,41,15,26,51,67,18,3,66,Magic,Holy,None,None,409
20,63,80,33,52,30,40,11,66,Magic,Holy,Holy,None,1650
77,55,56,17,24,53,28,12,32,Physical,None,None,None,663
28,65,42,21,34,20,27,11,60,Magic,Ice,Ice,None,1247
51,22,45,23,31,70,43,13,32,Physical,None,Water,None,391
31,79,68,9,39,50,40,3,66,Magic,Holy,None,None,662
46,41,60,13,54,34,42,9,66,Magic,Holy,Holy,None,629
59,40,61,44,63,66,38,15,54,Magic,Wind,Wind,None,1007
46,41,29,7,63,71,56,5,46,Magic,Poison,Poison,Gravity,366
51,27,44,36,27,28,61,16,32,Physical,None,None,None,352
59,27,35,8,55,58,28,0,32,Physical,None,Ice,None,669
32,24,48,12,52,30,40,11,66,Magic,Holy,Holy,None,346
51,22,45,23,67,36,25,14,32,Physical,None,Gravity,None,338
31,54,36,12,33,42,19,23,46,Magic,Poison,Poison,Earth,601
31,54,36,12,55,58,28,0,60,Magic,Ice,Ice,None,817
27,35,28,7,55,58,28,0,60,Magic,Ice,Ice,None,406
28,43,75,2,80,24,51,5,32,Physical,None,Poison,None,353
63,54,82,11,52,30,40,11,32,Physical,None,Holy,None,707
61,37,66,2,38,21,62,14,32,Physical,None,Poison,None,1193
63,54,82,11,29,35,59,6,32,Physical,None,Water,None,1503
67,38,38,48,36,79,31,8,66,Magic,Holy,None,None,600
77,55,56,17,61,21,58,0,32,Physical,None,None,None,605
37,75,26,35,54,78,58,22,46,Magic,Poison,Poison,None,1314
79,64,16,4,80,24,51,5,46,Magic,Poison,Poison,None,685
41,75,39,40,38,21,62,14,46,Magic,Poison,Poison,None,1552
75,28,73,47,51,67,55,20,32,Physical,None,None,Gravity,743
77,33,50,18,30,31,56,0,32,Physical,None,None,None,597
41,75,39,40,54,78,58,22,46,Magic,Poison,Poison,None,1309
71,49,28,44,42,44,24,3,54,Magic,Wind,Wind,None,1323
25,79,61,33,34,32,56,6,66,Magic,Holy,None,None,1076
61,41,15,26,36,75,61,15,66,Magic,Holy,None,None,408
62,74,17,2,41,20,28,20,54,Magic,Wind,Wind,None,937
31,79,68,9,41,20,28,20,54,Magic,Wind,Wind,None,1102
46,67,48,38,42,44,24,3,54,Magic,Wind,Wind,None,1537
68,53,71,17,63,36,63,15,60,Magic,Fire,Fire,None,893
22,25,72,19,30,31,56,0,32,Physical,None,None,None,346
24,56,62,42,36,69,49,2,54,Magic,Wind,Wind,Lightning,1290
39,78,43,30,68,77,47,23,66,Magic,Holy,None,Poison,840
64,22,23,20,68,49,31,17,32,Physical,None,None,None,602
61,37,66,2,43,40,43,13,32,Physical,None,None,None,553
74,36,56,25,51,37,10,13,32,Physical,None,Poison,None,1362
32,31,62,20,51,69,29,9,32,Physical,None,Gravity,None,372
77,33,50,18,41,26,35,7,32,Physical,None,Ice,None,579
61,41,15,26,64,73,57,0,60,Magic,Lightning,Lightning,None,819
79,76,79,35,38,37,10,15,32,Physical,None,None,Poison,916
46,41,29,7,43,40,43,13,32,Physical,None,None,None,497
54,64,53,27,26,54,54,13,66,Magic,Holy,None,None,693
51,27,44,36,28,51,62,4,26,Magic,Poison,Water,None,165
45,79,50,19,34,20,27,11,60,Magic,Ice,Ice,None,1665
43,26,42,3,63,66,38,15,32,Physical,None,Wind,None,297
45,79,50,19,62,39,54,25,66,Magic,Holy,None,None,789
46,67,48,38,41,33,42,22,60,Magic,Fire,Fire,None,1619
25,70,86,1,51,55,44,6,32,Physical,None,None,None,466
51,22,45,23,54,78,58,22,32,Physical,None,Poison,None,696
77,33,50,18,38,21,62,14,32,Physical,None,Poison,None,557
25,38,39,48,30,31,56,0,66,Magic,Holy,None,None,697
27,35,28,7,75,55,26,20,14,Magic,Lightning,None,None,45
27,50,35,4,68,67,70,9,66,Magic,Holy,None,Lightning,298
64,28,43,22,43,40,43,13,32,Physical,None,None,None,881
63,54,82,11,39,65,36,23,32,Physical,None,Ice,None,1526
46,67,48,38,26,54,54,13,66,Magic,Holy,None,None,903
63,68,84,40,29,35,59,6,50,Magic,Water,Water,None,1557
62,74,17,2,63,66,38,15,54,Magic,Wind,Wind,None,845
31,54,36,12,48,29,49,5,66,Magic,Holy,None,Water,456
32,24,48,12,39,50,40,3,32,Physical,None,None,None,276
66,47,47,36,29,35,59,6,50,Magic,Water,Water,None,1003
23,49,73,10,43,40,43,13,32,Physical,None,None,None,348
32,22,85,27,38,37,10,15,32,Physical,None,None,Poison,568
27,35,28,7,55,25,11,15,66,Magic,Holy,None,None,221
77,55,56,17,37,35,25,1,32,Physical,None,None,None,644
32,24,48,12,62,39,54,25,32,Physical,None,None,None,261
32,58,19,28,60,78,27,14,60,Magic,Fire,None,Holy,543
27,38,72,48,28,51,62,4,50,Magic,Water,Water,None,1021
74,36,56,25,36,69,49,2,32,Physical,None,Wind,Lightning,628
28,65,42,21,28,56,29,11,30,Magic,Ice,None,None,281
61,37,66,2,68,49,31,17,32,Physical,None,None,None,565
36,31,70,42,54,78,58,22,46,Magic,Poison,Poison,None,633
71,61,47,9,61,21,58,0,32,Physical,None,None,None,493
25,70,86,1,63,66,38,15,54,Magic,Wind,Wind,None,718
23,49,73,10,62,39,54,25,32,Physical,None,None,None,640
58,22,50,37,39,50,40,3,32,Physical,None,None,None,423
58,22,50,37,37,75,58,11,32,Physical,None,None,None,416
32,58,19,28,25,68,70,13,46,Magic,Poison,Poison,None,886
51,27,44,36,48,29,49,5,32,Physical,None,None,Water,365
32,24,48,12,63,36,63,15,32,Physical,None,Fire,None,245
49,64,60,49,69,44,16,1,42,Magic,Gravity,Gravity,Lightning,1310
77,31,68,22,55,58,28,0,32,Physical,None,Ice,None,1444
61,41,15,26,48,29,49,5,66,Magic,Holy,None,Water,446
77,33,50,18,43,40,43,13,32,Physical,None,None,None,559
31,54,36,12,51,67,55,20,66,Magic,Holy,None,Gravity,410
46,41,60,13,37,75,58,11,32,Physical,None,None,None,873
77,31,68,22,51,69,29,9,32,Physical,None,Gravity,None,709
64,28,43,22,77,62,60,0,60,Magic,Fire,Fire,None,539
36,31,70,42,39,50,40,3,66,Magic,Holy,None,None,503
74,36,56,25,48,29,49,5,32,Physical,None,None,Water,599
79,76,79,35,56,31,12,16,46,Magic,Poison,Poison,None,1507
70,53,59,48,33,42,19,23,46,Magic,Poison,Poison,Earth,1175
20,63,80,33,42,34,48,25,66,Magic,Holy,Holy,None,1503
28,43,75,2,30,21,69,3,32,Physical,None,None,None,398
61,78,55,44,35,67,35,5,66,Magic,Holy,None,Gravity,1120
46,67,48,38,42,31,50,1,54,Magic,Wind,Wind,None,1591
67,38,38,48,36,79,31,8,46,Magic,Poison,None,None,449
44,77,50,7,39,50,40,3,66,Magic,Holy,None,None,640
61,37,66,2,68,47,12,9,32,Physical,None,Poison,None,589
66,47,47,36,67,22,38,5,60,Magic,Lightning,Lightning,Gravity,1222
71,21,74,8,64,73,57,0,32,Physical,None,Lightning,None,690
31,54,36,12,67,36,25,14,42,Magic,Gravity,Gravity,None,580
22,25,72,19,41,20,28,20,14,Magic,Lightning,Wind,None,48
64,29,61,10,36,75,61,15,32,Physical,None,None,None,1096
22,25,72,19,54,34,42,9,32,Physical,None,Holy,None,680
63,68,84,40,41,33,42,22,60,Magic,Fire,Fire,None,1794
66,56,17,23,31,20,15,25,66,Magic,Holy,None,None,623
49,64,60,49,27,20,13,19,48,Magic,Earth,Earth,None,1612
52,75,32,26,34,32,56,6,66,Magic,Holy,None,None,913
32,24,48,12,25,68,70,13,32,Physical,None,Poison,None,250
77,31,68,22,43,40,43,13,32,Physical,None,None,None,689
28,65,42,21,68,67,70,9,66,Magic,Holy,None,Lightning,608
71,49,28,44,28,56,29,11,66,Magic,Holy,None,None,698
36,31,70,42,51,55,44,6,14,Magic,Ice,None,None,101
36,31,70,42,28,51,62,4,50,Magic,Water,Water,None,732
68,53,71,17,65,37,31,1,32,Physical,None,Gravity,Holy,689
79,64,16,4,80,24,51,5,46,Magic,Poison,Poison,None,646
67,38,38,48,51,67,18,3,66,Magic,Holy,None,None,667
36,80,65,33,41,33,42,22,60,Magic,Fire,Fire,None,1801
28,65,42,21,78,33,69,21,66,Magic,Holy,None,None,651
66,56,17,23,42,53,56,8,48,Magic,Earth,Earth,None,815
32,22,85,27,63,71,56,5,32,Physical,None,Poison,Gravity,941
70,53,59,48,27,28,61,16,66,Magic,Holy,None,None,918
52,54,30,5,38,21,62,14,46,Magic,Poison,Poison,None,538
32,24,48,12,33,42,19,23,32,Physical,None,Poison,Earth,281
32,58,19,28,37,35,25,1,66,Magic,Holy,None,None,730
52,75,32,26,36,79,31,8,66,Magic,Holy,None,None,771
66,56,17,23,65,37,31,1,42,Magic,Gravity,Gravity,Holy,729
46,41,60,13,38,21,62,14,32,Physical,None,Poison,None,423
68,61,90,4,67,36,25,14,32,Physical,None,Gravity,None,1687
64,30,16,43,68,67,70,9,66,Magic,Holy,None,Lightning,466
77,33,50,18,68,49,31,17,32,Physical,None,None,None,571
32,22,85,27,41,26,35,7,32,Physical,None,Ice,None,486
63,68,84,40,74,54,65,12,30,Magic,Lightning,None,None,449
59,27,35,8,63,71,56,5,32,Physical,None,Poison,Gravity,325
61,78,55,44,31,70,43,13,50,Magic,Water,Water,None,1657
51,22,45,23,51,67,55,20,32,Physical,None,None,Gravity,350
64,22,23,20,69,44,16,1,32,Physical,None,Gravity,Lightning,652
27,38,72,48,68,31,11,0,50,Magic,Water,Water,None,1092
58,22,50,37,29,22,63,8,66,Magic,Holy,Holy,Gravity,739
26,69,77,6,24,40,18,6,46,Magic,Poison,Poison,None,775
37,75,26,35,54,78,58,22,46,Magic,Poison,Poison,None,1207
64,22,23,20,68,47,12,9,32,Physical,None,Poison,None,605
25,70,86,1,37,35,25,1,32,Physical,None,None,None,518
36,31,70,42,43,40,43,13,66,Magic,Holy,None,None,506
47,75,55,34,63,71,56,5,46,Magic,Poison,Poison,Gravity,1348
67,38,38,48,24,40,18,6,46,Magic,Poison,Poison,None,912
45,36,41,19,37,75,58,11,32,Physical,None,None,None,287
32,31,62,20,28,51,62,4,50,Magic,Water,Water,None,431
61,41,15,26,39,65,36,23,60,Magic,Ice,Ice,None,754
31,79,68,9,23,52,20,19,50,Magic,Water,Water,None,1020
59,40,61,44,30,31,56,0,32,Physical,None,None,None,536
71,61,47,9,63,66,38,15,54,Magic,Wind,Wind,None,757
