Atk_Attack,Atk_SpAtk,Atk_Type1,Atk_Type2,Def_Defense,Def_SpDef,Def_Type1,Def_Type2,Move_Power,Move_Type,Move_Category,Damage
127,62,Psychic,Electric,128,128,Grass,Dragon,80,Poison,Physical,66
125,121,Dragon,Mono,140,103,Flying,Mono,85,Dragon,Special,57
72,117,Flying,Rock,101,72,Ghost,Normal,75,Flying,Special,73
66,120,Fairy,Mono,117,135,Bug,Poison,80,Psychic,Physical,61
90,114,Grass,Poison,62,162,Normal,Mono,120,Fighting,Physical,140
99,64,Ground,Mono,55,86,Poison,Mono,100,Ground,Physical,221
66,151,Ice,Bug,133,111,Flying,Rock,90,Ice,Special,148
60,78,Psychic,Mono,150,114,Fighting,Mono,90,Psychic,Special,74
107,128,Ghost,Grass,131,82,Bug,Mono,90,Grass,Special,42
60,78,Psychic,Mono,64,101,Water,Ice,80,Psychic,Physical,48
118,99,Fire,Ground,146,145,Normal,Fire,90,Ground,Special,80
169,126,Poison,Mono,132,149,Ghost,Mono,90,Fairy,Physical,66
113,87,Ice,Flying,74,54,Fire,Bug,120,Flying,Physical,236
80,97,Poison,Bug,88,54,Electric,Mono,90,Bug,Special,100
97,70,Ghost,Normal,139,100,Water,Fairy,80,Ghost,Special,38
99,120,Poison,Mono,66,100,Dragon,Ground,85,Normal,Physical,50
113,80,Dark,Fairy,148,63,Poison,Bug,80,Dark,Special,61
101,86,Water,Fairy,82,163,Poison,Mono,90,Water,Physical,66
51,98,Fighting,Fairy,101,79,Bug,Mono,95,Fairy,Special,71
63,91,Psychic,Poison,62,162,Normal,Mono,80,Poison,Physical,74
99,120,Poison,Mono,72,77,Dark,Mono,90,Poison,Special,80
155,114,Water,Mono,140,134,Flying,Mono,90,Water,Physical,64
101,86,Water,Fairy,127,95,Steel,Water,90,Water,Special,24
53,69,Psychic,Mono,128,128,Grass,Dragon,90,Psychic,Special,31
51,98,Fighting,Fairy,103,112,Ice,Grass,80,Fighting,Special,85
79,97,Flying,Mono,101,79,Bug,Mono,120,Flying,Physical,112
85,128,Flying,Electric,114,76,Dark,Mono,90,Electric,Special,89
75,108,Flying,Mono,165,124,Flying,Mono,90,Electric,Special,66
103,111,Bug,Mono,128,128,Grass,Dragon,75,Ice,Physical,96
66,120,Fairy,Mono,103,82,Rock,Bug,80,Steel,Special,98
106,68,Grass,Normal,62,162,Normal,Mono,90,Grass,Physical,95
128,71,Grass,Dragon,146,145,Normal,Fire,90,Water,Physical,72
51,98,Fighting,Fairy,71,43,Psychic,Mono,95,Fairy,Special,135
68,135,Ghost,Mono,82,63,Rock,Mono,80,Ghost,Special,102
136,73,Ghost,Mono,101,79,Bug,Mono,80,Rock,Special,61
154,81,Electric,Mono,133,111,Flying,Rock,75,Electric,Physical,106
155,81,Rock,Mono,102,124,Fighting,Ice,90,Fairy,Physical,107
140,85,Ice,Ground,82,63,Rock,Mono,100,Ground,Physical,228
118,99,Fire,Ground,140,134,Flying,Mono,75,Ice,Physical,57
154,116,Flying,Mono,127,95,Steel,Water,90,Grass,Special,45
91,133,Dragon,Mono,137,88,Water,Mono,85,Dragon,Special,85
128,94,Fire,Normal,101,95,Ice,Flying,90,Fire,Special,114
101,86,Water,Fairy,102,124,Fighting,Ice,120,Flying,Physical,96
79,69,Water,Psychic,128,132,Fighting,Electric,90,Water,Physical,52
66,151,Ice,Bug,82,163,Poison,Mono,90,Ice,Special,53
64,134,Flying,Mono,148,63,Poison,Bug,75,Flying,Special,185
49,124,Bug,Mono,130,120,Psychic,Mono,90,Bug,Special,112
119,55,Bug,Mono,130,120,Psychic,Mono,80,Bug,Physical,91
79,97,Flying,Mono,100,90,Dragon,Mono,120,Flying,Physical,57
113,87,Ice,Flying,71,43,Psychic,Mono,120,Flying,Physical,116
90,114,Grass,Poison,114,58,Ice,Mono,90,Grass,Special,104
53,96,Normal,Fire,124,78,Fighting,Fairy,90,Fire,Special,75
88,149,Rock,Bug,90,98,Flying,Mono,75,Rock,Physical,89
51,98,Fighting,Fairy,114,76,Dark,Mono,95,Fairy,Special,140
79,97,Flying,Mono,132,149,Ghost,Mono,120,Flying,Physical,43
66,120,Fairy,Mono,124,113,Normal,Mono,95,Fairy,Special,62
75,136,Fairy,Dark,114,58,Ice,Mono,80,Fighting,Special,161
154,81,Electric,Mono,144,106,Dragon,Mono,80,Steel,Physical,37
53,69,Psychic,Mono,62,162,Normal,Mono,80,Psychic,Physical,45
53,96,Normal,Fire,64,75,Water,Mono,120,Fighting,Physical,43
128,71,Grass,Dragon,100,90,Dragon,Mono,85,Dragon,Special,92
137,43,Flying,Mono,71,43,Psychic,Mono,120,Flying,Physical,132
159,85,Rock,Mono,153,54,Psychic,Mono,80,Rock,Special,81
51,98,Fighting,Fairy,101,95,Ice,Flying,90,Electric,Special,83
128,94,Fire,Normal,61,77,Fairy,Mono,90,Normal,Special,63
75,136,Fairy,Dark,130,120,Psychic,Mono,95,Fairy,Special,70
102,117,Ghost,Mono,82,63,Rock,Mono,100,Ground,Physical,110
70,131,Rock,Mono,119,88,Ghost,Mono,80,Rock,Special,74
127,62,Psychic,Electric,128,128,Grass,Dragon,80,Poison,Physical,65
169,126,Poison,Mono,67,56,Flying,Dragon,90,Fairy,Physical,199
106,56,Flying,Mono,102,79,Fire,Ground,120,Flying,Physical,73
63,91,Psychic,Poison,147,78,Normal,Mono,95,Fairy,Special,49
159,85,Rock,Mono,102,124,Fighting,Ice,75,Rock,Physical,67
148,81,Normal,Mono,128,128,Grass,Dragon,90,Fairy,Physical,89
169,126,Poison,Mono,140,103,Flying,Mono,90,Poison,Special,68
102,117,Ghost,Mono,110,113,Rock,Flying,80,Ghost,Special,52
80,97,Poison,Bug,72,77,Dark,Mono,90,Bug,Special,153
78,162,Water,Mono,135,90,Fire,Normal,90,Water,Special,186
66,151,Ice,Bug,64,75,Water,Mono,90,Grass,Special,137
53,104,Fairy,Flying,147,78,Normal,Mono,95,Fairy,Special,74
66,162,Dragon,Ground,79,138,Water,Psychic,90,Ground,Special,68
85,128,Flying,Electric,104,110,Grass,Normal,75,Flying,Special,105
75,108,Flying,Mono,102,91,Flying,Mono,90,Electric,Special,86
154,81,Electric,Mono,82,63,Rock,Mono,80,Steel,Physical,129
118,99,Fire,Ground,135,90,Fire,Normal,90,Ground,Special,132
110,67,Fighting,Mono,52,154,Dragon,Bug,120,Fighting,Physical,78
101,86,Water,Fairy,88,54,Electric,Mono,90,Water,Special,140
113,80,Dark,Fairy,152,94,Rock,Mono,90,Fairy,Physical,43
53,69,Psychic,Mono,103,112,Ice,Grass,90,Psychic,Special,49
99,64,Ground,Mono,140,87,Psychic,Electric,100,Ground,Physical,92
52,96,Normal,Mono,104,110,Grass,Normal,90,Normal,Special,46
79,69,Water,Psychic,146,145,Normal,Fire,90,Water,Physical,61
169,126,Poison,Mono,140,103,Flying,Mono,90,Poison,Special,64
152,49,Ice,Mono,64,101,Water,Ice,80,Fighting,Special,34
91,133,Dragon,Mono,135,90,Fire,Normal,85,Dragon,Special,84
159,85,Rock,Mono,133,123,Dark,Mono,75,Rock,Physical,57
72,80,Steel,Water,117,80,Poison,Mono,90,Water,Special,52
78,162,Water,Mono,82,163,Poison,Mono,90,Water,Special,58
129,118,Rock,Flying,147,78,Normal,Mono,80,Rock,Special,79
75,108,Flying,Mono,79,138,Water,Psychic,120,Flying,Physical,77
66,120,Fairy,Mono,102,79,Fire,Ground,95,Fairy,Special,46
140,85,Ice,Ground,114,58,Ice,Mono,100,Ground,Physical,74
117,130,Fire,Ghost,135,90,Fire,Normal,90,Psychic,Special,51
63,91,Psychic,Poison,104,110,Grass,Normal,80,Poison,Physical,59
102,87,Water,Mono,127,95,Steel,Water,90,Fire,Special,34
52,96,Normal,Mono,165,124,Flying,Mono,90,Normal,Special,44
49,124,Bug,Mono,149,112,Fairy,Mono,90,Grass,Special,40
75,108,Flying,Mono,126,149,Fairy,Flying,90,Electric,Special,56
110,67,Fighting,Mono,137,88,Water,Mono,120,Fighting,Physical,63
60,78,Psychic,Mono,150,114,Fighting,Mono,90,Psychic,Special,74
70,131,Rock,Mono,101,72,Ghost,Normal,80,Rock,Special,88
155,114,Water,Mono,150,114,Fighting,Mono,90,Psychic,Special,77
118,99,Fire,Ground,126,149,Fairy,Flying,75,Ice,Physical,62
52,96,Normal,Mono,130,110,Fairy,Rock,80,Steel,Special,112
139,120,Poison,Mono,88,79,Bug,Mono,120,Flying,Physical,168
129,118,Rock,Flying,64,101,Water,Ice,80,Rock,Special,119
144,117,Water,Ice,101,72,Ghost,Normal,90,Water,Special,84
155,81,Rock,Mono,139,93,Ghost,Grass,80,Dark,Physical,74
106,54,Dark,Mono,90,98,Flying,Mono,75,Ice,Physical,69
98,96,Fire,Bug,135,139,Fairy,Dark,90,Bug,Special,39
85,128,Flying,Electric,114,58,Ice,Mono,90,Electric,Special,116
85,128,Flying,Electric,72,77,Dark,Mono,90,Electric,Special,97
63,91,Psychic,Poison,130,110,Fairy,Rock,95,Fairy,Special,34
106,68,Grass,Normal,128,128,Grass,Dragon,80,Dragon,Physical,60
103,69,Flying,Dragon,88,79,Bug,Mono,75,Flying,Special,82
127,62,Psychic,Electric,114,76,Dark,Mono,75,Electric,Physical,49
79,69,Water,Psychic,140,134,Flying,Mono,75,Rock,Physical,39
154,81,Electric,Mono,104,110,Grass,Normal,80,Steel,Physical,48
128,71,Grass,Dragon,130,120,Psychic,Mono,90,Water,Physical,38
109,89,Poison,Mono,100,90,Dragon,Mono,90,Poison,Special,57
127,62,Psychic,Electric,70,96,Ice,Mono,75,Electric,Physical,86
139,120,Poison,Mono,157,90,Grass,Poison,120,Flying,Physical,81
79,97,Flying,Mono,82,163,Poison,Mono,120,Flying,Physical,67
63,91,Psychic,Poison,124,78,Fighting,Fairy,95,Fairy,Special,85
85,128,Flying,Electric,131,82,Bug,Mono,75,Flying,Special,136
66,162,Dragon,Ground,103,132,Fairy,Mono,90,Ground,Special,69
137,43,Flying,Mono,117,135,Bug,Poison,120,Flying,Physical,272
64,134,Flying,Mono,135,139,Fairy,Dark,75,Flying,Special,44
155,81,Rock,Mono,132,149,Ghost,Mono,80,Dark,Physical,77
106,68,Grass,Normal,153,54,Psychic,Mono,90,Normal,Special,69
66,162,Dragon,Ground,93,129,Ghost,Mono,90,Ground,Special,68
148,79,Dark,Mono,75,52,Flying,Mono,75,Electric,Physical,120
129,118,Rock,Flying,107,78,Fire,Ghost,80,Rock,Special,141
144,117,Water,Ice,101,72,Ghost,Normal,90,Water,Special,94
68,135,Ghost,Mono,59,87,Poison,Mono,100,Ground,Physical,104
113,87,Ice,Flying,127,95,Steel,Water,75,Electric,Physical,57
102,117,Ghost,Mono,64,101,Water,Ice,70,Ghost,Physical,73
72,117,Flying,Rock,90,98,Flying,Mono,120,Flying,Physical,66
140,85,Ice,Ground,70,96,Ice,Mono,100,Ground,Physical,116
128,71,Grass,Dragon,103,112,Ice,Grass,80,Fighting,Special,41
68,135,Ghost,Mono,147,78,Normal,Mono,95,Fairy,Special,65
66,162,Dragon,Ground,150,114,Fighting,Mono,90,Ground,Special,79
68,135,Ghost,Mono,95,134,Dark,Fairy,95,Fairy,Special,80
109,89,Poison,Mono,135,139,Fairy,Dark,80,Poison,Physical,77
118,99,Fire,Ground,149,112,Fairy,Mono,80,Steel,Special,63
53,104,Fairy,Flying,103,132,Fairy,Mono,95,Fairy,Special,49
117,130,Fire,Ghost,101,95,Ice,Flying,75,Fire,Physical,153
152,49,Ice,Mono,61,77,Fairy,Mono,75,Ice,Physical,107
79,97,Flying,Mono,62,162,Normal,Mono,120,Flying,Physical,93
127,62,Psychic,Electric,153,54,Psychic,Mono,75,Electric,Physical,43
66,162,Dragon,Ground,128,128,Grass,Dragon,90,Ice,Special,183
156,131,Ice,Mono,61,77,Fairy,Mono,75,Ice,Physical,126
128,94,Fire,Normal,128,87,Rock,Mono,75,Electric,Physical,32
140,85,Ice,Ground,93,129,Ghost,Mono,100,Ground,Physical,98
75,136,Fairy,Dark,124,78,Fighting,Fairy,95,Fairy,Special,202
79,69,Water,Psychic,67,56,Flying,Dragon,75,Rock,Physical,75
72,117,Flying,Rock,101,79,Bug,Mono,75,Flying,Special,130
91,133,Dragon,Mono,65,58,Flying,Mono,85,Dragon,Special,130
119,55,Bug,Mono,55,86,Poison,Mono,80,Dark,Physical,74
90,114,Grass,Poison,62,162,Normal,Mono,120,Fighting,Physical,154
109,89,Poison,Mono,102,124,Fighting,Ice,80,Poison,Physical,58
159,85,Rock,Mono,144,106,Dragon,Mono,95,Fairy,Special,61
75,136,Fairy,Dark,93,129,Ghost,Mono,80,Dark,Physical,81
53,69,Psychic,Mono,103,112,Ice,Grass,90,Psychic,Special,53
79,97,Flying,Mono,101,72,Ghost,Normal,75,Flying,Special,61
53,96,Normal,Fire,64,75,Water,Mono,120,Fighting,Physical,39
113,87,Ice,Flying,148,63,Poison,Bug,120,Flying,Physical,117
101,86,Water,Fairy,64,75,Water,Mono,120,Flying,Physical,80
72,117,Flying,Rock,128,132,Fighting,Electric,120,Flying,Physical,41
117,130,Fire,Ghost,103,132,Fairy,Mono,75,Fire,Physical,56
79,97,Flying,Mono,102,91,Flying,Mono,120,Flying,Physical,61
53,104,Fairy,Flying,93,129,Ghost,Mono,95,Fairy,Special,47
68,135,Ghost,Mono,135,139,Fairy,Dark,95,Fairy,Special,72
99,120,Poison,Mono,127,95,Steel,Water,90,Grass,Special,75
105,94,Fairy,Mono,131,82,Bug,Mono,95,Fairy,Special,63
97,70,Ghost,Normal,124,113,Normal,Mono,120,Fighting,Physical,84
125,121,Dragon,Mono,62,162,Normal,Mono,80,Dragon,Physical,98
66,151,Ice,Bug,150,114,Fighting,Mono,90,Ice,Special,78
154,81,Electric,Mono,67,56,Flying,Dragon,75,Electric,Physical,100
64,91,Psychic,Mono,59,52,Ground,Mono,90,Psychic,Special,91
118,99,Fire,Ground,93,129,Ghost,Mono,90,Ground,Special,44
75,136,Fairy,Dark,55,86,Poison,Mono,80,Dark,Physical,69
129,118,Rock,Flying,128,128,Grass,Dragon,75,Flying,Special,122
118,99,Fire,Ground,135,90,Fire,Normal,90,Ground,Special,122
66,120,Fairy,Mono,126,149,Fairy,Flying,80,Steel,Special,54
113,80,Dark,Fairy,52,154,Dragon,Bug,90,Fairy,Physical,256
68,135,Ghost,Mono,59,52,Ground,Mono,80,Ghost,Special,133
83,54,Psychic,Mono,88,54,Electric,Mono,90,Psychic,Special,55
118,99,Fire,Ground,147,78,Normal,Mono,90,Ground,Special,73
49,124,Bug,Mono,140,87,Psychic,Electric,90,Bug,Special,234
154,81,Electric,Mono,117,80,Poison,Mono,90,Psychic,Special,79
114,118,Fairy,Mono,114,58,Ice,Mono,95,Fairy,Special,112
57,130,Fighting,Electric,102,79,Fire,Ground,80,Fighting,Special,120
152,49,Ice,Mono,74,54,Fire,Bug,75,Ice,Physical,45
79,97,Flying,Mono,132,149,Ghost,Mono,120,Flying,Physical,42
83,54,Psychic,Mono,88,54,Electric,Mono,90,Psychic,Special,58
103,69,Flying,Dragon,137,88,Water,Mono,85,Dragon,Special,64
125,61,Fighting,Ice,55,86,Poison,Mono,80,Psychic,Physical,155
139,74,Ground,Mono,102,91,Flying,Mono,120,Flying,Physical,72
80,97,Poison,Bug,148,124,Ice,Ground,80,Fighting,Special,52
83,54,Psychic,Mono,82,163,Poison,Mono,80,Psychic,Physical,96
108,148,Dark,Mono,165,124,Flying,Mono,80,Dark,Special,64
125,61,Fighting,Ice,128,87,Rock,Mono,120,Fighting,Physical,159
51,98,Fighting,Fairy,62,162,Normal,Mono,80,Fighting,Special,61
72,80,Steel,Water,62,162,Normal,Mono,90,Water,Physical,61
155,81,Rock,Mono,55,86,Poison,Mono,75,Rock,Physical,125
83,54,Psychic,Mono,77,72,Flying,Electric,80,Psychic,Physical,58
105,94,Fairy,Mono,74,54,Fire,Bug,95,Fairy,Special,53
144,117,Water,Ice,57,130,Psychic,Mono,100,Ground,Physical,96
159,85,Rock,Mono,77,72,Flying,Electric,75,Rock,Physical,201
73,91,Flying,Mono,55,86,Poison,Mono,120,Flying,Physical,99
103,111,Bug,Mono,101,72,Ghost,Normal,120,Flying,Physical,53
68,135,Ghost,Mono,103,112,Ice,Grass,80,Ghost,Special,66
139,120,Poison,Mono,114,76,Dark,Mono,90,Poison,Special,87
49,124,Bug,Mono,132,149,Ghost,Mono,90,Grass,Special,31
143,97,Dragon,Bug,135,139,Fairy,Dark,90,Bug,Special,36
64,134,Flying,Mono,104,110,Grass,Normal,75,Flying,Special,114
103,111,Bug,Mono,64,101,Water,Ice,80,Bug,Physical,85
73,91,Flying,Mono,139,100,Water,Fairy,75,Flying,Special,44
118,99,Fire,Ground,52,154,Dragon,Bug,75,Ice,Physical,141
49,124,Bug,Mono,61,77,Fairy,Mono,90,Grass,Special,59
88,149,Rock,Bug,140,134,Flying,Mono,75,Rock,Physical,64
68,135,Ghost,Mono,140,87,Psychic,Electric,80,Ghost,Special,146
51,98,Fighting,Fairy,119,88,Ghost,Mono,95,Fairy,Special,64
127,62,Psychic,Electric,130,120,Psychic,Mono,75,Electric,Physical,47
105,94,Fairy,Mono,132,149,Ghost,Mono,90,Fairy,Physical,49
101,86,Water,Fairy,135,139,Fairy,Dark,80,Poison,Physical,56
140,85,Ice,Ground,93,129,Ghost,Mono,100,Ground,Physical,93
53,96,Normal,Fire,67,56,Flying,Dragon,90,Fire,Special,43
128,71,Grass,Dragon,62,162,Normal,Mono,90,Water,Physical,78
64,91,Psychic,Mono,150,114,Fighting,Mono,90,Psychic,Special,86
99,120,Poison,Mono,133,123,Dark,Mono,90,Poison,Special,58
49,71,Ice,Grass,139,100,Water,Fairy,90,Grass,Physical,39
49,71,Ice,Grass,104,110,Grass,Normal,75,Ice,Physical,48
155,81,Rock,Mono,74,54,Fire,Bug,75,Rock,Physical,404
148,79,Dark,Mono,65,58,Flying,Mono,75,Electric,Physical,154
53,69,Psychic,Mono,52,154,Dragon,Bug,80,Psychic,Physical,54
125,61,Fighting,Ice,133,123,Dark,Mono,120,Fighting,Physical,146
96,108,Normal,Mono,55,86,Poison,Mono,90,Ground,Special,93
88,149,Rock,Bug,133,111,Flying,Rock,75,Rock,Physical,67
75,136,Fairy,Dark,133,123,Dark,Mono,95,Fairy,Special,136
90,114,Grass,Poison,148,124,Ice,Ground,90,Grass,Special,108
101,86,Water,Fairy,127,95,Steel,Water,90,Water,Special,27
114,118,Fairy,Mono,126,149,Fairy,Flying,80,Steel,Physical,61
64,134,Flying,Mono,165,124,Flying,Mono,75,Flying,Special,48
57,130,Fighting,Electric,103,132,Fairy,Mono,80,Rock,Special,34
78,162,Water,Mono,140,87,Psychic,Electric,90,Bug,Special,141
103,111,Bug,Mono,139,93,Ghost,Grass,120,Flying,Physical,75
66,120,Fairy,Mono,103,82,Rock,Bug,80,Steel,Special,100
114,118,Fairy,Mono,65,58,Flying,Mono,95,Fairy,Special,129
79,97,Flying,Mono,126,149,Fairy,Flying,120,Flying,Physical,50
128,94,Fire,Normal,144,106,Dragon,Mono,90,Normal,Special,52
79,97,Flying,Mono,128,128,Grass,Dragon,120,Flying,Physical,90
128,94,Fire,Normal,140,87,Psychic,Electric,90,Normal,Special,56
139,74,Ground,Mono,165,124,Flying,Mono,120,Flying,Physical,42
99,120,Poison,Mono,124,113,Normal,Mono,90,Poison,Special,56
75,136,Fairy,Dark,101,95,Ice,Flying,95,Fairy,Special,81
96,108,Normal,Mono,126,149,Fairy,Flying,90,Normal,Special,38
125,121,Dragon,Mono,62,162,Normal,Mono,80,Dragon,Physical,95
122,101,Fairy,Rock,150,158,Psychic,Poison,100,Ground,Physical,68
154,116,Flying,Mono,55,86,Poison,Mono,120,Flying,Physical,201
68,135,Ghost,Mono,62,162,Normal,Mono,100,Ground,Physical,44
106,54,Dark,Mono,102,124,Fighting,Ice,120,Fighting,Physical,109
136,73,Ghost,Mono,126,149,Fairy,Flying,70,Ghost,Physical,46
51,98,Fighting,Fairy,82,63,Rock,Mono,80,Fighting,Special,161
53,69,Psychic,Mono,66,100,Dragon,Ground,80,Psychic,Physical,40
88,149,Rock,Bug,103,132,Fairy,Mono,75,Rock,Physical,38
88,149,Rock,Bug,102,91,Flying,Mono,75,Rock,Physical,85
128,94,Fire,Normal,144,106,Dragon,Mono,90,Normal,Special,50
101,86,Water,Fairy,103,112,Ice,Grass,120,Flying,Physical,91
137,43,Flying,Mono,140,87,Psychic,Electric,120,Flying,Physical,38
139,120,Poison,Mono,55,86,Poison,Mono,120,Flying,Physical,122
139,120,Poison,Mono,128,128,Grass,Dragon,80,Poison,Physical,112
114,118,Fairy,Mono,146,145,Normal,Fire,85,Dragon,Special,28
155,114,Water,Mono,88,79,Bug,Mono,90,Water,Physical,100
68,135,Ghost,Mono,117,80,Poison,Mono,80,Ghost,Special,86
125,61,Fighting,Ice,62,162,Normal,Mono,120,Fighting,Physical,307
53,104,Fairy,Flying,149,112,Fairy,Mono,95,Fairy,Special,54
128,94,Fire,Normal,132,149,Ghost,Mono,90,Fire,Special,34
128,94,Fire,Normal,102,124,Fighting,Ice,90,Fire,Special,95
118,99,Fire,Ground,62,162,Normal,Mono,75,Ice,Physical,58
106,68,Grass,Normal,110,113,Rock,Flying,90,Grass,Physical,56
49,124,Bug,Mono,59,87,Poison,Mono,90,Bug,Special,40
72,80,Steel,Water,101,72,Ghost,Normal,80,Dark,Special,81
57,130,Fighting,Electric,93,129,Ghost,Mono,70,Ghost,Physical,39
96,108,Normal,Mono,119,88,Ghost,Mono,80,Dark,Physical,59
169,126,Poison,Mono,52,154,Dragon,Bug,90,Fairy,Physical,382
79,97,Flying,Mono,61,75,Ground,Mono,90,Water,Physical,101
99,64,Ground,Mono,133,111,Flying,Rock,95,Fairy,Special,24
109,89,Poison,Mono,139,100,Water,Fairy,90,Poison,Special,108
154,116,Flying,Mono,79,138,Water,Psychic,120,Flying,Physical,132
66,151,Ice,Bug,150,114,Fighting,Mono,90,Ice,Special,79
70,131,Rock,Mono,103,132,Fairy,Mono,80,Rock,Special,46
127,62,Psychic,Electric,71,43,Psychic,Mono,75,Electric,Physical,79
101,86,Water,Fairy,110,113,Rock,Flying,90,Water,Physical,114
129,118,Rock,Flying,114,76,Dark,Mono,80,Rock,Special,77
53,104,Fairy,Flying,146,145,Normal,Fire,120,Fighting,Physical,42
83,54,Psychic,Mono,128,128,Grass,Dragon,80,Psychic,Physical,32
53,96,Normal,Fire,117,135,Bug,Poison,90,Fire,Special,85
156,131,Ice,Mono,52,154,Dragon,Bug,75,Ice,Physical,284
91,133,Dragon,Mono,64,75,Water,Mono,85,Dragon,Special,100
79,69,Water,Psychic,75,52,Flying,Mono,90,Water,Special,79
51,98,Fighting,Fairy,150,114,Fighting,Mono,95,Fairy,Special,99
57,130,Fighting,Electric,139,100,Water,Fairy,80,Rock,Special,42
72,80,Steel,Water,101,79,Bug,Mono,90,Water,Special,57
64,91,Psychic,Mono,61,77,Fairy,Mono,90,Psychic,Special,70
109,89,Poison,Mono,135,139,Fairy,Dark,80,Poison,Physical,87
122,101,Fairy,Rock,71,43,Psychic,Mono,80,Rock,Special,122
49,71,Ice,Grass,104,110,Grass,Normal,75,Ice,Physical,45
