event_id,battle_id,seq,turn_no,phase,event_type,command,actor_id,actor_side,actor_slot,actor_name,target_id,target_side,target_slot,target_name,move_name,pokemon_name,hp_current,hp_max,hp_status,delta_hp,effect,source,details_json,raw_args_json,raw_line
smogtours-gen5ou-59402:000024,smogtours-gen5ou-59402,24,,Meta,RuleDeclared,rule,,,,,,,,,,,,,,,,,,"[""Species Clause: Limit one of each Pokémon""]",|rule|Species Clause: Limit one of each Pokémon
smogtours-gen5ou-59402:000025,smogtours-gen5ou-59402,25,,Meta,RuleDeclared,rule,,,,,,,,,,,,,,,,,,"[""OHKO Clause: OHKO moves are banned""]",|rule|OHKO Clause: OHKO moves are banned
smogtours-gen5ou-59402:000026,smogtours-gen5ou-59402,26,,Meta,RuleDeclared,rule,,,,,,,,,,,,,,,,,,"[""Moody Clause: Moody is banned""]",|rule|Moody Clause: Moody is banned
smogtours-gen5ou-59402:000027,smogtours-gen5ou-59402,27,,Meta,RuleDeclared,rule,,,,,,,,,,,,,,,,,,"[""Evasion Moves Clause: Evasion moves are banned""]",|rule|Evasion Moves Clause: Evasion moves are banned
smogtours-gen5ou-59402:000028,smogtours-gen5ou-59402,28,,Meta,RuleDeclared,rule,,,,,,,,,,,,,,,,,,"[""Endless Battle Clause: Forcing endless battles is banned""]",|rule|Endless Battle Clause: Forcing endless battles is banned
smogtours-gen5ou-59402:000029,smogtours-gen5ou-59402,29,,Meta,RuleDeclared,rule,,,,,,,,,,,,,,,,,,"[""HP Percentage Mod: HP is shown in percentages""]",|rule|HP Percentage Mod: HP is shown in percentages
smogtours-gen5ou-59402:000030,smogtours-gen5ou-59402,30,,Meta,TeamPreviewStarted,teampreview,,,,,,,,,,,,,,,,,"{""tags"": []}",[],|teampreview
smogtours-gen5ou-59402:000031,smogtours-gen5ou-59402,31,,Spectator,UserJoined,J,,,,McMeghan,,,,,,,,,,,,,,"[""McMeghan""]",|J|McMeghan
smogtours-gen5ou-59402:000032,smogtours-gen5ou-59402,32,,Spectator,UserJoined,J,,,,iconic,,,,,,,,,,,,,,"[""iconic""]",|J|iconic
smogtours-gen5ou-59402:000033,smogtours-gen5ou-59402,33,,Spectator,UserJoined,J,,,,MegaStarUniverse,,,,,,,,,,,,,,"[""MegaStarUniverse""]",|J|MegaStarUniverse
smogtours-gen5ou-59402:000034,smogtours-gen5ou-59402,34,,Spectator,UserJoined,J,,,,zdrup,,,,,,,,,,,,,,"[""zdrup""]",|J|zdrup
smogtours-gen5ou-59402:000035,smogtours-gen5ou-59402,35,,Spectator,UserJoined,J,,,,H-C,,,,,,,,,,,,,,"[""H-C""]",|J|H-C
smogtours-gen5ou-59402:000036,smogtours-gen5ou-59402,36,,Spectator,UserJoined,J,,,,Zenadark,,,,,,,,,,,,,,"[""Zenadark""]",|J|Zenadark
smogtours-gen5ou-59402:000037,smogtours-gen5ou-59402,37,,Spectator,UserJoined,J,,,,Twin Citiez,,,,,,,,,,,,,,"[""Twin Citiez""]",|J|Twin Citiez
smogtours-gen5ou-59402:000038,smogtours-gen5ou-59402,38,,Spectator,UserJoined,J,,,,Lusso.,,,,,,,,,,,,,,"[""Lusso.""]",|J|Lusso.
smogtours-gen5ou-59402:000039,smogtours-gen5ou-59402,39,,Spectator,UserJoined,J,,,,Lord Mur,,,,,,,,,,,,,,"[""Lord Mur""]",|J|Lord Mur
smogtours-gen5ou-59402:000040,smogtours-gen5ou-59402,40,,Spectator,UserJoined,J,,,,Vinc2612,,,,,,,,,,,,,,"[""Vinc2612""]",|J|Vinc2612
smogtours-gen5ou-59402:000041,smogtours-gen5ou-59402,41,,Spectator,UserJoined,J,,,,fant,,,,,,,,,,,,,,"[""fant""]",|J|fant
smogtours-gen5ou-59402:000042,smogtours-gen5ou-59402,42,,Chat,ChatMessage,c,,,,&iconic,,,,,,,,,,,down to dis . . .,,,"[""&iconic"", ""down to dis . . .""]",|c|&iconic|down to dis . . .
smogtours-gen5ou-59402:000043,smogtours-gen5ou-59402,43,,Spectator,UserJoined,J,,,,Gei,,,,,,,,,,,,,,"[""Gei""]",|J|Gei
smogtours-gen5ou-59402:000044,smogtours-gen5ou-59402,44,,Spectator,UserJoined,J,,,,Espaa,,,,,,,,,,,,,,"[""Espaa""]",|J|Espaa
smogtours-gen5ou-59402:000045,smogtours-gen5ou-59402,45,,Spectator,UserJoined,J,,,,Yogiras,,,,,,,,,,,,,,"[""Yogiras""]",|J|Yogiras
smogtours-gen5ou-59402:000046,smogtours-gen5ou-59402,46,,Chat,ChatMessage,c,,,,&iconic,,,,,,,,,,,vive la france . . .,,,"[""&iconic"", ""vive la france . . .""]",|c|&iconic|vive la france . . .
smogtours-gen5ou-59402:000047,smogtours-gen5ou-59402,47,,Spectator,UserJoined,J,,,,littlelucario,,,,,,,,,,,,,,"[""littlelucario""]",|J|littlelucario
smogtours-gen5ou-59402:000048,smogtours-gen5ou-59402,48,,Chat,ChatMessage,c,,,,★Reymedy,,,,,,,,,,,...,,,"[""★Reymedy"", ""...""]",|c|★Reymedy|...
smogtours-gen5ou-59402:000049,smogtours-gen5ou-59402,49,,Spectator,UserJoined,J,,,,TewMew,,,,,,,,,,,,,,"[""TewMew""]",|J|TewMew
smogtours-gen5ou-59402:000050,smogtours-gen5ou-59402,50,,Chat,ChatMessage,c,,,,★Leftiez~,,,,,,,,,,,:p,,,"[""★Leftiez~"", "":p""]",|c|★Leftiez~|:p
smogtours-gen5ou-59402:000051,smogtours-gen5ou-59402,51,,Spectator,UserLeft,L,,,,Lord Mur,,,,,,,,,,,,,,"[""Lord Mur""]",|L|Lord Mur
smogtours-gen5ou-59402:000052,smogtours-gen5ou-59402,52,,Chat,ChatMessage,c,,,,+littlelucario,,,,,,,,,,,is thiis for a tour?,,,"[""+littlelucario"", ""is thiis for a tour?""]",|c|+littlelucario|is thiis for a tour?
smogtours-gen5ou-59402:000053,smogtours-gen5ou-59402,53,,Spectator,UserJoined,J,,,,boudouche,,,,,,,,,,,,,,"[""boudouche""]",|J|boudouche
smogtours-gen5ou-59402:000054,smogtours-gen5ou-59402,54,,Chat,ChatMessage,c,,,,&iconic,,,,,,,,,,,reymedy that looks like my frontier team from 2 yrs ago,,,"[""&iconic"", ""reymedy that looks like my frontier team from 2 yrs ago""]",|c|&iconic|reymedy that looks like my frontier team from 2 yrs ago
smogtours-gen5ou-59402:000055,smogtours-gen5ou-59402,55,,Spectator,UserJoined,J,,,,Jimmy Turtwig,,,,,,,,,,,,,,"[""Jimmy Turtwig""]",|J|Jimmy Turtwig
smogtours-gen5ou-59402:000056,smogtours-gen5ou-59402,56,,Chat,ChatMessage,c,,,,&iconic,,,,,,,,,,,its v rain stall weak :(,,,"[""&iconic"", ""its v rain stall weak :(""]",|c|&iconic|its v rain stall weak :(
smogtours-gen5ou-59402:000057,smogtours-gen5ou-59402,57,,Spectator,UserJoined,J,,,,SoulWind,,,,,,,,,,,,,,"[""SoulWind""]",|J|SoulWind
smogtours-gen5ou-59402:000058,smogtours-gen5ou-59402,58,,Spectator,UserJoined,J,,,,BahaWin,,,,,,,,,,,,,,"[""BahaWin""]",|J|BahaWin
smogtours-gen5ou-59402:000059,smogtours-gen5ou-59402,59,,Chat,ChatMessage,c,,,,★Reymedy,,,,,,,,,,,:P,,,"[""★Reymedy"", "":P""]",|c|★Reymedy|:P
smogtours-gen5ou-59402:000060,smogtours-gen5ou-59402,60,,Chat,ChatMessage,c,,,,&iconic,,,,,,,,,,,screw phil and his rain stal,,,"[""&iconic"", ""screw phil and his rain stal""]",|c|&iconic|screw phil and his rain stal
smogtours-gen5ou-59402:000061,smogtours-gen5ou-59402,61,,Meta,BattleStarted,start,,,,,,,,,,,,,,,,,"{""tags"": []}",[],|start
smogtours-gen5ou-59402:000062,smogtours-gen5ou-59402,62,,Switch,PokemonSwitched,switch,p1a: Gengen,p1,p1a,Gengen,,,,,,"Breloom, F",307.0,307.0,,,,,,"[""p1a: Gengen"", ""Breloom, F"", ""307/307""]","|switch|p1a: Gengen|Breloom, F|307/307"
smogtours-gen5ou-59402:000063,smogtours-gen5ou-59402,63,,Switch,PokemonSwitched,switch,p2a: Rotom-Wash,p2,p2a,Rotom-Wash,,,,,,Rotom-Wash,271.0,271.0,,,,,,"[""p2a: Rotom-Wash"", ""Rotom-Wash"", ""271/271""]",|switch|p2a: Rotom-Wash|Rotom-Wash|271/271
smogtours-gen5ou-59402:000064,smogtours-gen5ou-59402,64,1.0,TurnMarker,TurnStarted,turn,,,,,,,,,,,,,,,,,,"[""1""]",|turn|1
smogtours-gen5ou-59402:000065,smogtours-gen5ou-59402,65,1.0,Spectator,UserJoined,J,,,,WcJay,,,,,,,,,,,,,,"[""WcJay""]",|J|WcJay
smogtours-gen5ou-59402:000066,smogtours-gen5ou-59402,66,1.0,Action,MoveUsed,move,p2a: Rotom-Wash,p2,p2a,Rotom-Wash,p1a: Gengen,p1,p1a,Gengen,Hidden Power,,,,,,,,"{""tags"": []}","[""p2a: Rotom-Wash"", ""Hidden Power"", ""p1a: Gengen""]",|move|p2a: Rotom-Wash|Hidden Power|p1a: Gengen
smogtours-gen5ou-59402:000067,smogtours-gen5ou-59402,67,1.0,Event,TypeEffectivenessSuper,-supereffective,,,,,p1a: Gengen,p1,p1a,Gengen,,,,,,,,,"{""tags"": []}","[""p1a: Gengen""]",|-supereffective|p1a: Gengen
smogtours-gen5ou-59402:000068,smogtours-gen5ou-59402,68,1.0,HPChange,DamageApplied,-damage,p1a: Gengen,p1,p1a,Gengen,,,,,,,69.0,307.0,,-238.0,,,"{""tags"": []}","[""p1a: Gengen"", ""69/307""]",|-damage|p1a: Gengen|69/307
smogtours-gen5ou-59402:000069,smogtours-gen5ou-59402,69,1.0,Action,MoveUsed,move,p1a: Gengen,p1,p1a,Gengen,p2a: Rotom-Wash,p2,p2a,Rotom-Wash,Spore,,,,,,,,"{""tags"": []}","[""p1a: Gengen"", ""Spore"", ""p2a: Rotom-Wash""]",|move|p1a: Gengen|Spore|p2a: Rotom-Wash
smogtours-gen5ou-59402:000070,smogtours-gen5ou-59402,70,1.0,Status,StatusApplied,-status,p2a: Rotom-Wash,p2,p2a,Rotom-Wash,,,,,,,,,,,slp,,"{""tags"": []}","[""p2a: Rotom-Wash"", ""slp""]",|-status|p2a: Rotom-Wash|slp
smogtours-gen5ou-59402:000071,smogtours-gen5ou-59402,71,1.0,Event,ItemEnded,-enditem,p2a: Rotom-Wash,p2,p2a,Rotom-Wash,,,,,,,,,,,Chesto Berry,,"{""tags"": [""[eat]""], ""eat"": """"}","[""p2a: Rotom-Wash"", ""Chesto Berry"", ""[eat]""]",|-enditem|p2a: Rotom-Wash|Chesto Berry|[eat]
smogtours-gen5ou-59402:000072,smogtours-gen5ou-59402,72,1.0,Status,StatusCured,-curestatus,p2a: Rotom-Wash,p2,p2a,Rotom-Wash,,,,,,,,,,,slp,,"{""tags"": []}","[""p2a: Rotom-Wash"", ""slp""]",|-curestatus|p2a: Rotom-Wash|slp
smogtours-gen5ou-59402:000073,smogtours-gen5ou-59402,73,1.0,Status,StatusApplied,-status,p1a: Gengen,p1,p1a,Gengen,,,,,,,,,,,tox,,"{""tags"": [""[from] item: Toxic Orb""], ""from"": ""item: Toxic Orb""}","[""p1a: Gengen"", ""tox"", ""[from] item: Toxic Orb""]",|-status|p1a: Gengen|tox|[from] item: Toxic Orb
smogtours-gen5ou-59402:000074,smogtours-gen5ou-59402,74,2.0,TurnMarker,TurnStarted,turn,,,,,,,,,,,,,,,,,,"[""2""]",|turn|2
smogtours-gen5ou-59402:000075,smogtours-gen5ou-59402,75,2.0,Chat,ChatMessage,c,,,,+littlelucario,,,,,,,,,,,not,,,"[""+littlelucario"", ""not""]",|c|+littlelucario|not
smogtours-gen5ou-59402:000076,smogtours-gen5ou-59402,76,2.0,Chat,ChatMessage,c,,,,+littlelucario,,,,,,,,,,,bad,,,"[""+littlelucario"", ""bad""]",|c|+littlelucario|bad
smogtours-gen5ou-59402:000077,smogtours-gen5ou-59402,77,2.0,Spectator,UserJoined,J,,,,LJDarkrai,,,,,,,,,,,,,,"[""LJDarkrai""]",|J|LJDarkrai
smogtours-gen5ou-59402:000078,smogtours-gen5ou-59402,78,2.0,Spectator,UserLeft,L,,,,MegaStarUniverse,,,,,,,,,,,,,,"[""MegaStarUniverse""]",|L|MegaStarUniverse
smogtours-gen5ou-59402:000079,smogtours-gen5ou-59402,79,2.0,Spectator,UserJoined,J,,,,Korby,,,,,,,,,,,,,,"[""Korby""]",|J|Korby
smogtours-gen5ou-59402:000080,smogtours-gen5ou-59402,80,2.0,Spectator,UserJoined,J,,,,Tom0410,,,,,,,,,,,,,,"[""Tom0410""]",|J|Tom0410
smogtours-gen5ou-59402:000081,smogtours-gen5ou-59402,81,2.0,Spectator,UserJoined,J,,,,davidTheMaster,,,,,,,,,,,,,,"[""davidTheMaster""]",|J|davidTheMaster
smogtours-gen5ou-59402:000082,smogtours-gen5ou-59402,82,2.0,Spectator,UserJoined,J,,,,Vinc608,,,,,,,,,,,,,,"[""Vinc608""]",|J|Vinc608
smogtours-gen5ou-59402:000083,smogtours-gen5ou-59402,83,2.0,Spectator,UserJoined,J,,,,Bowlii,,,,,,,,,,,,,,"[""Bowlii""]",|J|Bowlii
smogtours-gen5ou-59402:000084,smogtours-gen5ou-59402,84,2.0,Switch,PokemonSwitched,switch,p1a: Nanami,p1,p1a,Nanami,,,,,,Jirachi,403.0,403.0,,,,,,"[""p1a: Nanami"", ""Jirachi"", ""403/403""]",|switch|p1a: Nanami|Jirachi|403/403
smogtours-gen5ou-59402:000085,smogtours-gen5ou-59402,85,2.0,Action,MoveUsed,move,p2a: Rotom-Wash,p2,p2a,Rotom-Wash,p1a: Nanami,p1,p1a,Nanami,Hydro Pump,,,,,,,,"{""tags"": []}","[""p2a: Rotom-Wash"", ""Hydro Pump"", ""p1a: Nanami""]",|move|p2a: Rotom-Wash|Hydro Pump|p1a: Nanami
smogtours-gen5ou-59402:000086,smogtours-gen5ou-59402,86,2.0,HPChange,DamageApplied,-damage,p1a: Nanami,p1,p1a,Nanami,,,,,,,253.0,403.0,,-150.0,,,"{""tags"": []}","[""p1a: Nanami"", ""253/403""]",|-damage|p1a: Nanami|253/403
smogtours-gen5ou-59402:000087,smogtours-gen5ou-59402,87,2.0,HPChange,HealApplied,-heal,p1a: Nanami,p1,p1a,Nanami,,,,,,,278.0,403.0,,25.0,,item: Leftovers,"{""tags"": [""[from] item: Leftovers""], ""from"": ""item: Leftovers""}","[""p1a: Nanami"", ""278/403"", ""[from] item: Leftovers""]",|-heal|p1a: Nanami|278/403|[from] item: Leftovers
smogtours-gen5ou-59402:000088,smogtours-gen5ou-59402,88,3.0,TurnMarker,TurnStarted,turn,,,,,,,,,,,,,,,,,,"[""3""]",|turn|3
smogtours-gen5ou-59402:000089,smogtours-gen5ou-59402,89,3.0,Spectator,UserJoined,J,,,,pholovvers,,,,,,,,,,,,,,"[""pholovvers""]",|J|pholovvers
smogtours-gen5ou-59402:000090,smogtours-gen5ou-59402,90,3.0,Action,MoveUsed,move,p2a: Rotom-Wash,p2,p2a,Rotom-Wash,p1a: Nanami,p1,p1a,Nanami,Volt Switch,,,,,,,,"{""tags"": []}","[""p2a: Rotom-Wash"", ""Volt Switch"", ""p1a: Nanami""]",|move|p2a: Rotom-Wash|Volt Switch|p1a: Nanami
smogtours-gen5ou-59402:000091,smogtours-gen5ou-59402,91,3.0,HPChange,DamageApplied,-damage,p1a: Nanami,p1,p1a,Nanami,,,,,,,193.0,403.0,,-85.0,,,"{""tags"": []}","[""p1a: Nanami"", ""193/403""]",|-damage|p1a: Nanami|193/403
smogtours-gen5ou-59402:000092,smogtours-gen5ou-59402,92,3.0,Switch,PokemonSwitched,switch,p2a: Hippowdon,p2,p2a,Hippowdon,,,,,,"Hippowdon, F",420.0,420.0,,,,,,"[""p2a: Hippowdon"", ""Hippowdon, F"", ""420/420""]","|switch|p2a: Hippowdon|Hippowdon, F|420/420"
smogtours-gen5ou-59402:000093,smogtours-gen5ou-59402,93,3.0,Field,WeatherChanged,-weather,,,,,,,,,,,,,,,Sandstorm,ability: Sand Stream,"{""tags"": [""[from] ability: Sand Stream"", ""[of] p2a: Hippowdon""], ""from"": ""ability: Sand Stream"", ""of"": ""p2a: Hippowdon""}","[""Sandstorm"", ""[from] ability: Sand Stream"", ""[of] p2a: Hippowdon""]",|-weather|Sandstorm|[from] ability: Sand Stream|[of] p2a: Hippowdon
smogtours-gen5ou-59402:000094,smogtours-gen5ou-59402,94,3.0,Action,MoveUsed,move,p1a: Nanami,p1,p1a,Nanami,p1a: Nanami,p1,p1a,Nanami,Wish,,,,,,,,"{""tags"": []}","[""p1a: Nanami"", ""Wish"", ""p1a: Nanami""]",|move|p1a: Nanami|Wish|p1a: Nanami
smogtours-gen5ou-59402:000095,smogtours-gen5ou-59402,95,3.0,Field,WeatherChanged,-weather,,,,,,,,,,,,,,,Sandstorm,,"{""tags"": [""[upkeep]""], ""upkeep"": """"}","[""Sandstorm"", ""[upkeep]""]",|-weather|Sandstorm|[upkeep]
smogtours-gen5ou-59402:000096,smogtours-gen5ou-59402,96,3.0,HPChange,HealApplied,-heal,p1a: Nanami,p1,p1a,Nanami,,,,,,,218.0,403.0,,25.0,,item: Leftovers,"{""tags"": [""[from] item: Leftovers""], ""from"": ""item: Leftovers""}","[""p1a: Nanami"", ""218/403"", ""[from] item: Leftovers""]",|-heal|p1a: Nanami|218/403|[from] item: Leftovers
smogtours-gen5ou-59402:000097,smogtours-gen5ou-59402,97,4.0,TurnMarker,TurnStarted,turn,,,,,,,,,,,,,,,,,,"[""4""]",|turn|4
smogtours-gen5ou-59402:000098,smogtours-gen5ou-59402,98,4.0,Spectator,UserJoined,J,,,,xastify,,,,,,,,,,,,,,"[""xastify""]",|J|xastify
smogtours-gen5ou-59402:000099,smogtours-gen5ou-59402,99,4.0,Spectator,UserLeft,L,,,,pholovvers,,,,,,,,,,,,,,"[""pholovvers""]",|L|pholovvers
smogtours-gen5ou-59402:000100,smogtours-gen5ou-59402,100,4.0,Spectator,UserJoined,J,,,,Marshall.Law,,,,,,,,,,,,,,"[""Marshall.Law""]",|J|Marshall.Law
smogtours-gen5ou-59402:000101,smogtours-gen5ou-59402,101,4.0,Spectator,UserJoined,J,,,,Stratos,,,,,,,,,,,,,,"[""Stratos""]",|J|Stratos
smogtours-gen5ou-59402:000102,smogtours-gen5ou-59402,102,4.0,Switch,PokemonSwitched,switch,p1a: Rikimaru,p1,p1a,Rikimaru,,,,,,"Garchomp, M",420.0,420.0,,,,,,"[""p1a: Rikimaru"", ""Garchomp, M"", ""420/420""]","|switch|p1a: Rikimaru|Garchomp, M|420/420"
smogtours-gen5ou-59402:000103,smogtours-gen5ou-59402,103,4.0,Action,MoveUsed,move,p2a: Hippowdon,p2,p2a,Hippowdon,p1a: Rikimaru,p1,p1a,Rikimaru,Earthquake,,,,,,,,"{""tags"": []}","[""p2a: Hippowdon"", ""Earthquake"", ""p1a: Rikimaru""]",|move|p2a: Hippowdon|Earthquake|p1a: Rikimaru
smogtours-gen5ou-59402:000104,smogtours-gen5ou-59402,104,4.0,HPChange,DamageApplied,-damage,p1a: Rikimaru,p1,p1a,Rikimaru,,,,,,,294.0,420.0,,-126.0,,,"{""tags"": []}","[""p1a: Rikimaru"", ""294/420""]",|-damage|p1a: Rikimaru|294/420
smogtours-gen5ou-59402:000105,smogtours-gen5ou-59402,105,4.0,Field,WeatherChanged,-weather,,,,,,,,,,,,,,,Sandstorm,,"{""tags"": [""[upkeep]""], ""upkeep"": """"}","[""Sandstorm"", ""[upkeep]""]",|-weather|Sandstorm|[upkeep]
smogtours-gen5ou-59402:000106,smogtours-gen5ou-59402,106,4.0,HPChange,HealApplied,-heal,p1a: Rikimaru,p1,p1a,Rikimaru,,,,,,,420.0,420.0,,126.0,,move: Wish,"{""tags"": [""[from] move: Wish"", ""[wisher] Nanami""], ""from"": ""move: Wish"", ""wisher"": ""Nanami""}","[""p1a: Rikimaru"", ""420/420"", ""[from] move: Wish"", ""[wisher] Nanami""]",|-heal|p1a: Rikimaru|420/420|[from] move: Wish|[wisher] Nanami
smogtours-gen5ou-59402:000107,smogtours-gen5ou-59402,107,5.0,TurnMarker,TurnStarted,turn,,,,,,,,,,,,,,,,,,"[""5""]",|turn|5
smogtours-gen5ou-59402:000108,smogtours-gen5ou-59402,108,5.0,Action,MoveUsed,move,p1a: Rikimaru,p1,p1a,Rikimaru,p2a: Hippowdon,p2,p2a,Hippowdon,Stealth Rock,,,,,,,,"{""tags"": []}","[""p1a: Rikimaru"", ""Stealth Rock"", ""p2a: Hippowdon""]",|move|p1a: Rikimaru|Stealth Rock|p2a: Hippowdon
smogtours-gen5ou-59402:000109,smogtours-gen5ou-59402,109,5.0,Field,SideConditionStarted,-sidestart,,,,,,,,,,,,,,,p2: Leftiez~,,"{""tags"": [""move: Stealth Rock""], ""other"": [""move: Stealth Rock""]}","[""p2: Leftiez~"", ""move: Stealth Rock""]",|-sidestart|p2: Leftiez~|move: Stealth Rock
smogtours-gen5ou-59402:000110,smogtours-gen5ou-59402,110,5.0,Action,MoveUsed,move,p2a: Hippowdon,p2,p2a,Hippowdon,p1a: Rikimaru,p1,p1a,Rikimaru,Ice Fang,,,,,,,,"{""tags"": []}","[""p2a: Hippowdon"", ""Ice Fang"", ""p1a: Rikimaru""]",|move|p2a: Hippowdon|Ice Fang|p1a: Rikimaru
smogtours-gen5ou-59402:000111,smogtours-gen5ou-59402,111,5.0,Event,TypeEffectivenessSuper,-supereffective,,,,,p1a: Rikimaru,p1,p1a,Rikimaru,,,,,,,,,"{""tags"": []}","[""p1a: Rikimaru""]",|-supereffective|p1a: Rikimaru
smogtours-gen5ou-59402:000112,smogtours-gen5ou-59402,112,5.0,HPChange,DamageApplied,-damage,p1a: Rikimaru,p1,p1a,Rikimaru,,,,,,,236.0,420.0,,-184.0,,,"{""tags"": []}","[""p1a: Rikimaru"", ""236/420""]",|-damage|p1a: Rikimaru|236/420
